Part No,Description,UPC,ARQOOB SOH,HMV_SOH,VMS-U_SOH,VMS-Q_SOH,Vir_SOH,Retailer SOH,HMV_Cost,VMS-U_Cost,VMS-Q_Cost,Vir (QAR)_Cost,Final_Cost,HMV_Price,VMS-U_Price,VMS-Q_Price,Vir (QAR)_Price,HMV_RRP,VMS-U_RRP,VMS-Q_RRP,Vir (QAR)_RRP,Jan_HMV,Jan_VMS-U,Jan_VMS-Q,Jan_Vir,Jan_Total,Feb_HMV,Feb_VMS-U,Feb_VMS-Q,Feb_Vir,Feb_Total,Mar_HMV,Mar_VMS-U,Mar_VMS-Q,Mar_Vir,Mar_Total,Apr_HMV,Apr_VMS-U,Apr_VMS-Q,Apr_Vir,Apr_Total,May_HMV,May_VMS-U,May_VMS-Q,May_Vir,May_Total,Jun_HMV,Jun_VMS-U,Jun_VMS-Q,Jun_Vir,Jun_Total,Jul_HMV,Jul_VMS-U,Jul_VMS-Q,Jul_Vir,Jul_Total,Month,Weeks
,Baseus Cafule Cable Durable Nylon Braided Wire USB/ micro US,6.95316E+11,,,,,0,0,,,,,0,,,,,,,,37,,,,,0,,,,,0,,,,0,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,0,5
BTC-320BK      ,Brave 2-port USB Wall Charger Black,7.4479E+11,,5,38,27,,70,18.71,22,22,,22,54.45,44.5,49.5,,,93,99,,,,,,0,,,,,0,,,,,0,,0,0,,0,,12,0,,12,,20,3,,23,,20,1,,21,3,5
BAC-106,Brave Lightning to 3.5mm Audio Cable Black,7.4479E+11,15,0,,,,0,,,,,0,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,3,,,,3,1,5
BHL-712        ,BRAVE LOTTO SERIES MAGNETIC CAR MOUNTS                                                                        ,7.4479E+11,,,40,,,40,,12.99,,,12.99,,34.5,,,,69,,,,6,,,6,,13,,,13,,16,,,16,,21,,,21,,5,,,5,,10,,,10,,30,,,30,7,5
BHL-713        ,BRAVE 2-IN-1 UNIVERSAL MAGNETIC HOLDER                                                                        ,7.4479E+11,,,48,,,48,,12.81,,,12.81,,29.5,,,,59,,,,12,,,12,,18,,,18,,14,,,14,,44,,,44,,30,,,30,,47,,,47,,40,,,40,7,5
BTC-320BK,Brave 2-port USB Wall Charger Black,7.4479E+11,3662,5,,,,5,,,,,0,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
BAC-106,Brave Lightning to 3.5mm Audio Cable Black,7.44796E+11,,5,,,,5,22.36,,,,22.36,54.45,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,2,,,,2,,,,,0,1,5
BTC-320,Brave 2-port USB Wall Charger White,7.44796E+11,,5,,,,5,18.71,,,,18.71,54.45,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,5
BTC-320,Brave 2-port USB Wall Charger White,7.44796E+11,,4,,,,4,,,,,0,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,,,,1,1,5
FE020-1W,Bone Collection PANDA STRAP-WHITE,4.71282E+12,16,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
FE021-1G,Bone Collection DINOSAUR STRAP-GREEN,4.71282E+12,19,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
FE030-1GR,Bone Collection TIGER STRAP-GREY,4.71282E+12,20,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
FE031-1R,Bone Collection NINJA STRAP-RED,4.71282E+12,16,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
FE031-1BK,Bone Collection NINJA STRAP-BLACK,4.71282E+12,14,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
FE036-1G,Bone Collection OWL STRAP-GREEN,4.71282E+12,20,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
FE038-1BR,Bone Collection DEER STRAP-BROWN,4.71282E+12,19,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
FE045-BK,Bone Collection CAT STRAP-BLACK,4.71608E+12,21,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
FE053-BK,Bone Collection Candy Maru Strap-BLACK,4.71608E+12,27,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
FE059-R,Bone Collection Ninja Wrap-RED,4.71608E+12,83,3,,,,3,7.35,,,,7.35,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
AP14021-BK     ,Bone Collection LinKey Lightning-BLACK,4.71608E+12,33,5,2,,,7,25.09,25.09,,,25.09,65.45,59.5,,,,129,,,,1,,,1,,7,,,7,,0,,,0,,2,,,2,,0,,,0,,0,,,0,0,0,,,0,3,5
LF14062-D,Bone Collection Q Cord Ties-SML(D),4.71608E+12,30,2,,,,2,11.19,,,,11.19,32.45,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,,,,1,0,,,,0,1,5
LF14062-C,Bone Collection Q Cord Ties-SML(C),4.71608E+12,86,2,,,,2,11.19,,,,11.19,32.45,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,,,,1,0,,,,0,1,5
LF16001-PEN,Bone Collection Cord Pocket-Maru Penguin,4.71608E+12,16,3,,,,3,10.81,,,,10.81,32.45,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
LF16001-DUC,Bone Collection Cord Pocket-Patti Duck,4.71608E+12,17,3,,,,3,10.81,,,,10.81,32.45,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
LF16001-DEE,Bone Collection Cord Pocket-Mr. Deer,4.71608E+12,16,3,,,,3,10.81,,,,10.81,32.45,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
LF16301-PEN,Bone Collection Charm Lanyard Plus-Maru Penguin,4.71608E+12,48,5,,,,5,11.19,,,,11.19,32.45,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
LF16301-DUC,Bone Collection Charm Lanyard Plus-Patti Duck,4.71608E+12,49,5,,,,5,11.19,,,,11.19,32.45,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
LF16301-DEE,Bone Collection Charm Lanyard Plus-Mr. Deer,4.71608E+12,45,5,,,,5,11.19,,,,11.19,32.45,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
BK18002-R      ,BONE COLLECTION BIKE TIE PRO 2 RED                                                                            ,4.71608E+12,2,,35,6,,41,,23.16,23.16,,23.16,,39.5,44.5,,,79,89,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,0,0,,0,,1,2,,3,1,5
BK18002-BK     ,BONE COLLECTION BIKE TIE PRO 2 BLACK                                                                          ,4.71608E+12,1,,6,0,,6,,23.16,23.16,,23.16,,39.5,44.5,,,79,89,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,0,0,,0,,6,0,,6,1,5
BK18002-GR     ,BONE COLLECTION BIKE TIE PRO 2 GREY                                                                           ,4.71608E+12,1,,29,6,,35,,23.16,23.16,,23.16,,39.5,44.5,,,79,89,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,2,0,,2,,7,2,,9,2,5
DR18041-32BK   ,BONE COLLECTION MARU PENGUIN 16GB USB 3.0                                                                     ,4.71608E+12,22,,58,25,,83,,38.22,38.22,,38.22,,116.35,58,,,189,89,,,3,,,3,,2,,,2,,2,,,2,,1,,,1,,0,,,0,,4,1,,5,,2,0,,2,6,5
DR18043-32BR   ,BONE COLLECTION MR. DEER 16GB USB 3.0                                                                         ,4.71608E+12,22,,63,25,,88,,38.22,38.22,,38.22,,116.35,58,,,189,89,,,1,,,1,,1,,,1,,0,,,0,,0,,,0,,0,,,0,,5,0,,5,,2,1,,3,4,5
PH18501-BK     ,BONE COLLECTION RUN TIE BLACK SMALL                                                                           ,4.71608E+12,31,,2,,,2,,28.95,,,28.95,,69.5,,,,149,,,,7,,,7,,6,,,6,,1,,,1,,0,,,0,,1,,,1,,1,,,1,,0,,,0,5,5
PH18501-GR     ,BONE COLLECTION RUN TIE GREY S ARMBAND                                                                        ,4.71608E+12,,,29,9,,38,,28.95,28.95,,28.95,,44.5,49.5,,,89,99,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,1,1,,2,,0,0,,0,1,5
PH18502-BK     ,BONE COLLECTION RUN TIE BLACK LARGE FOR SMARTPHONES 4-6.5 INCH                                                ,4.71608E+12,1,,26,5,,31,,28.95,28.95,,28.95,,69.5,49.5,,,149,99,,,11,,,11,,2,,,2,,6,,,6,,0,,,0,,1,,,1,,2,3,,5,,4,0,,4,6,5
PH18502-GR     ,BONE COLLECTION RUN TIE GREY L ARMBAND                                                                        ,4.71608E+12,10,,49,25,,74,,28.95,28.95,,28.95,,44.5,49.5,,,89,99,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,4,0,,4,,8,1,,9,2,5
PH18081-DEE,Bone Collection Phone Qcase XR-Mr. Deer,4.71608E+12,55,3,,,,3,21.23,,,,21.23,59.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
PH18081-DUC,Bone Collection Phone Qcase XR-Patti Duck,4.71608E+12,24,3,,,,3,21.23,,,,21.23,59.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
PH18081-CAT,Bone Collection Phone Qcase XR-Miao Cat,4.71608E+12,60,3,,,,3,21.23,,,,21.23,59.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
PH18080-DEE    ,Bone Collection Phone Qcase XS Max-Mr. Deer,4.71608E+12,2,3,18,16,,37,21.23,21.23,21.23,,21.23,59.95,29.5,34.5,,,59,69,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,2,1,,3,0,9,3,,12,2,5
PH18080-DUC    ,Bone Collection Phone Qcase XS Max-Patti Duck,4.71608E+12,2,3,0,0,,3,21.23,21.23,21.23,,21.23,59.95,29.5,34.5,,,59,69,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,1,0,,1,0,5,0,,5,2,5
PH18080-CAT    ,Bone Collection Phone Qcase XS Max-Miao Cat,4.71608E+12,2,1,11,12,,24,21.23,21.23,21.23,,21.23,59.95,29.5,34.5,,,59,69,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,4,1,,6,1,8,4,,13,2,5
PH18082-PEN    ,Bone Collection Phone Bubble XS-Maru Penguin,4.71608E+12,2,3,10,5,,18,22.39,22.39,22.39,,22.39,59.95,29.5,34.5,,,59,69,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,0,0,,0,0,2,0,,2,1,5
PH18082-DEE    ,Bone Collection Phone Bubble XS-Mr. Deer,4.71608E+12,2,3,31,18,,52,22.39,22.39,22.39,,22.39,59.95,29.5,34.5,,,59,69,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,0,0,,0,0,5,0,,5,1,5
PH18082-DUC    ,Bone Collection Phone Bubble XS-Patti Duck,4.71608E+12,2,3,9,7,,19,22.39,22.39,22.39,,22.39,59.95,29.5,34.5,,,59,69,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,2,0,,2,0,4,1,,5,2,5
PH18082-CAT    ,Bone Collection Phone Bubble XS-Miao Cat,4.71608E+12,,3,24,7,,34,22.39,22.39,22.39,,22.39,59.95,29.5,34.5,,,59,69,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,1,0,,1,0,7,6,,13,2,5
PH18084-DEE    ,Bone Collection Phone Bubble XS Max-Mr. Deer,4.71608E+12,3,3,43,25,,71,22.39,22.39,22.39,,22.39,59.95,29.5,34.5,,,59,69,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,0,0,,0,0,4,1,,5,1,5
PH18084-CAT    ,Bone Collection Phone Bubble XS Max-Miao Cat,4.71608E+12,10,1,27,18,,46,22.39,22.39,22.39,,22.39,59.95,29.5,34.5,,,59,69,,,,,,0,,,,,0,,,,,0,,,,,0,2,,,,2,,0,1,,1,1,8,2,,11,3,5
LF18091-PEN,Bone Collection Lanyard PhoneTie-Maru Penguin,4.71608E+12,5,3,,,,3,22,,,,22,59.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
LF18091-WH,Bone Collection Lanyard PhoneTie-Original White,4.71608E+12,4,1,,,,1,18.14,,,,18.14,48.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,2,,,,2,0,,,,0,1,5
LF18091-BK,Bone Collection Lanyard PhoneTie-Black,4.71608E+12,1,2,,,,2,18.14,,,,18.14,48.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,,,,1,0,,,,0,1,5
PH18101-DEE    ,Bone Collection Phone Qcase XS-Mr. Deer,4.71608E+12,4,5,20,18,,43,22.39,22.39,22.39,,22.39,59.95,29.5,34.5,,,59,69,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,3,3,0,,6,,9,2,,11,2,5
PH18101-DUC    ,BONE COLLECTION PATTI DUCK QCASE FOR IPHONE XS                                                                ,4.71608E+12,2,,1,1,,2,,22.39,22.39,,22.39,,29.5,34.5,,,59,69,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,2,0,,2,,7,1,,8,2,5
PH18101-CAT    ,Bone Collection Phone Qcase XS-Miao Cat,4.71608E+12,3,2,9,2,,13,22.39,22.39,22.39,,22.39,59.95,29.5,34.5,,,59,69,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,7,1,,8,1,10,4,,15,2,5
SUGENT-NT0S,Baseus 360-degree Rotation Magnetic Mount Holder(Paste type) Silv,6.95316E+12,282,4,,,,4,7.28,,,,7.28,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,1,,,,1,,,,,0,0,,,,0,1,5
SUMQ-01,Baseus Privity Ring Bracket Black,6.95316E+12,93,1,,,,1,6.59,,,,6.59,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,,,,1,3,,,,3,2,5
SUER-A01       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET BLACK                                                     ,6.95316E+12,174,,8,11,,19,,11.76,11.76,,11.76,,24.5,24.5,,,49,49,,,3,,,3,,6,9,,15,,11,5,,16,,8,7,,15,,5,5,,10,,15,0,,15,,4,4,,8,7,5
SUER-A0S       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE SILVER                                               ,6.95316E+12,139,,3,8,,11,,12.05,12.05,,12.05,,24.5,24.5,,,49,49,,,4,,,4,,5,4,,9,,9,5,,14,,10,9,,19,,4,4,,8,,4,1,,5,,0,1,,1,7,5
SUER-A0R       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE GOLD                                                 ,6.95316E+12,,,2,,,2,,11.11,,,11.11,,24.5,,,,49,,,,2,,,2,,1,,,1,,1,,,1,,0,,,0,,0,,,0,,1,,,1,,0,,,0,4,5
SUER-A0V       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE GOLD                                                 ,6.95316E+12,131,,2,,,2,,11.11,,,11.11,,24.5,,,,49,,,,3,,,3,,0,,,0,,6,,,6,,1,,,1,,0,,,0,,4,,,4,,2,,,2,5,5
SUER-B01       ,Baseus Small Ears Series Magnetic Bracketï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,6.95316E+12,523,5,12,8,,25,11.53,11.76,11.76,,11.76,32.45,24.5,24.5,,,49,49,,,12,,,12,,12,8,,20,,16,8,,24,,21,13,,34,,21,4,,25,,11,3,,14,0,6,9,,15,7,5
SUER-B0S       ,Baseus Small Ears Series Magnetic Bracketï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,6.95316E+12,,5,16,16,,37,11.53,11.76,11.76,,11.76,32.45,24,24.5,,,49,49,,,1,,,1,,2,8,,10,,10,5,,15,,5,7,,12,,6,3,,9,,12,3,,15,0,28,3,,31,7,5
SUER-B0R       ,BASEUS SMALL EARS VERTICAL MAGNETIC BRACKET ROSE GOLD                                                         ,6.95316E+12,4,,0,,,0,,11.76,,,11.76,,24.5,,,,49,,,,0,,,0,,3,,,3,,2,,,2,,2,,,2,,0,,,0,,2,,,2,,0,,,0,4,5
SUER-B0V       ,BASEUS SMALL EARS VERTICAL MAGNETIC BRACKET ROSE GOLD                                                         ,6.95316E+12,,,6,,,6,,12.05,,,12.05,,24.5,,,,49,,,,5,,,5,,5,,,5,,0,,,0,,9,,,9,,4,,,4,,5,,,5,,6,,,6,6,5
SUER-C0V,Baseus Small ears series Magnetic suction bracketï¿½ï¿½ï¿½ï¿½ï¿½,6.95316E+12,8,5,,,,5,7.76,,,,7.76,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
SUMR-0R,Baseus Multifunctional Ring Bracket Rose Gold,6.95316E+12,5,4,,,,4,3.65,,,,3.65,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,,,,1,0,,,,0,1,5
SUMR-0V,Baseus Multifunctional Ring Bracket Gold,6.95316E+12,,4,,,,4,3.65,,,,3.65,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,,,,1,0,,,,0,1,5
SUMR-01,Baseus Multifunctional Ring Bracket Black,6.95316E+12,134,1,,,,1,3.66,,,,3.66,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,1,,,,1,1,,,,1,1,,,,1,3,5
SUGENT-ATR01   ,BASEUS CURVE MAGNET CAR MOUNT                                                                                 ,6.95316E+12,1,,0,0,,0,,11,11,,11,,24.5,24.5,,,49,49,,,0,,,0,,0,0,,0,,2,0,,2,,0,0,,0,,0,0,,0,,0,0,,0,,0,0,,0,1,5
,Baseus Rapid  3-in-1 Cable M+L+Type-C 1.2M Black,6.95316E+12,,,,,2,2,,,,,0,,,,37.5705,,,,69,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,4,4,,,,3,3,,,,1,1,3,5
,Baseus Rapid  3-in-1 Cable M+L+Type-C 3A 1.2M Red,6.95316E+12,2,,,,4,4,,,,,0,,,,37.5705,,,,69,,,,,0,,,,,0,,,,0,0,,,,1,1,,,,1,1,,,,2,2,,,,2,2,4,5
,Baseus Rapid 3-n-1 Cable M+L+Type-C 1.2M Dark Blue,6.95316E+12,1,,,,0,0,,,,,0,,,,37.5705,,,,69,,,,,0,,,,,0,,,,0,0,,,,2,2,,,,0,0,,,,7,7,,,,1,1,3,5
CAMLL-SU09,Baseus Rapid Series 3-in-1 Cable Micro+Dual Lightning 3A 1.2M Red,6.95316E+12,81,3,,,,3,9.66,,,,9.66,37.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,2,,,,2,0,,,,0,1,5
CAM30-A91,Baseus Yiven Audio Cable 3.5 male Audio M30  0.5M Red+ Black,6.95316E+12,3,5,,,,5,4.81,,,,4.81,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
CAM30-B91,Baseus Yiven Audio Cable 3.5 male Audio M30 1M Red+ Black,6.95316E+12,49,5,,,,5,5.49,,,,5.49,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
CAM30-BS1,Baseus Yiven Audio Cable 3.5 male Audio M30 1M Silver+ Black,6.95316E+12,1,0,,,,0,5.46,,,,5.46,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,2,,,,2,3,,,,3,2,5
CATSX-D0G      ,Baseu Enjoyment Type-C to HDMI+USB HUB  Gray,6.95316E+12,4,,0,,2,2,,61,,,61,,124.5,,146.4705,,259,,269,,0,,,0,,0,,,0,,0,,0,0,,0,,0,0,,0,,0,0,,0,,0,0,,0,,0,0,0,5
,Baseus Enjoyment  Type-C to VGA+ USB 3.0  HUB Gray,6.95316E+12,,,,,3,3,,,,,0,,,,64.7955,,,,119,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,5
NGA02-03,Baseus Encok Mini Wireless Earphone A02 Blue,6.95316E+12,27,1,,,,1,20.21,,,,20.21,48.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,1,,,,1,,,,,0,0,,,,0,1,5
NGA02-0V,Baseus Encok Mini Wireless Earphone A02 Gold,6.95316E+12,,3,,,,3,19.42,,,,19.42,48.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,1,,,,1,2,,,,2,0,,,,0,2,5
NGA02-0A,Baseus Encok Mini Wireless Earphone A02 Tarnish,6.95316E+12,,1,,,,1,19.42,,,,19.42,48.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,2,,,,2,,,,,0,1,,,,1,2,5
SUER-A09       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE RED                                                  ,6.95316E+12,38,,1,,,1,,11.11,,,11.11,,24.5,,,,49,,,,1,,,1,,2,,,2,,0,,,0,,0,,,0,,2,,,2,,1,,,1,,0,,,0,4,5
SUER-B09       ,BASEUS SMALL EARS VERTICAL MAGNETIC BRACKET ROSE RED                                                          ,6.95316E+12,1,,0,,,0,,11.76,,,11.76,,24.5,,,,49,,,,4,,,4,,2,,,2,,7,,,7,,2,,,2,,0,,,0,,0,,,0,,0,,,0,4,5
SUPMD-01,Baseus Symbol Ring Bracket Black,6.95316E+12,7,4,,,4,8,7.19,,,,7.19,32.45,,,32.1255,,,,59,,,,,0,,,,,0,,,,0,0,,,,1,1,,,,0,0,1,,,1,2,0,,,0,0,2,5
SUPMD-03,Baseus Symbol Ring Bracket Blue,6.95316E+12,33,5,,,6,11,7.19,,,,7.19,32.45,,,32.1255,,,,59,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,,,0,0,0,5
,Baseus Symbol Ring Bracket Red,6.95316E+12,25,,,,6,6,,,,,0,,,,32.1255,,,,59,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,5
,Baseus Symbol Ring Bracket Glod,6.95316E+12,46,,,,5,5,,,,,0,,,,32.1255,,,,59,,,,,0,,,,,0,,,,0,0,,,,1,1,,,,0,0,,,,0,0,,,,0,0,1,5
SUHS-DP01      ,BASEUS DOUBLE CLIP HORIZONTAL VEHICLE MOUNT BLACK                                                             ,6.95316E+12,6,,0,16,,16,,13.48,13.48,,13.48,,29.5,29.5,,,59,59,,,5,,,5,,1,10,,11,,4,2,,6,,1,3,,4,,0,1,,1,,0,2,,2,,0,2,,2,7,5
SUHS-DP0S      ,BASEUS DOUBLE CLIP HORIZONTAL VEHICLE MOUNT SILVER                                                            ,6.95316E+12,,,0,,,0,,13.51,,,13.51,,29.5,,,,59,,,,3,,,3,,2,,,2,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,2,5
SUGX-A01       ,BASEUS MAGNETIC AIR VENT CAR MOUNT HOLDER WITH CABLE CLIP BLACK                                               ,6.95316E+12,81,,0,,,0,,12.05,,,12.05,,29.5,,,,59,,,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,0,5
SUGX-A0V       ,BASEUS MAGNETIC AIR VENT CAR MOUNT HOLDER WITH CABLE CLIP GOLD                                                ,6.95316E+12,11,,0,,,0,,11.76,,,11.76,,29.5,,,,59,,,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,0,5
SUGX-A09       ,BASEUS MAGNETIC AIR VENT CAR MOUNT HOLDER WITH CABLE CLIP RED                                                 ,6.95316E+12,100,,0,,,0,,11.65,,,11.65,,29.5,,,,59,,,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,0,5
