Part No,Description,UPC,ARQOOB SOH,HMV_SOH,VMS-U_SOH,VMS-Q_SOH,Vir_SOH,Retailer SOH,HMV_Cost,VMS-U_Cost,VMS-Q_Cost,Vir (QAR)_Cost,Final_Cost,HMV_Price,VMS-U_Price,VMS-Q_Price,Vir (QAR)_Price,HMV_RRP,VMS-U_RRP,VMS-Q_RRP,Vir (QAR)_RRP,Jan_HMV,Jan_VMS-U,Jan_VMS-Q,Jan_Vir,Jan_Total,Feb_HMV,Feb_VMS-U,Feb_VMS-Q,Feb_Vir,Feb_Total,Mar_HMV,Mar_VMS-U,Mar_VMS-Q,Mar_Vir,Mar_Total,Apr_HMV,Apr_VMS-U,Apr_VMS-Q,Apr_Vir,Apr_Total,May_HMV,May_VMS-U,May_VMS-Q,May_Vir,May_Total,Jun_HMV,Jun_VMS-U,Jun_VMS-Q,Jun_Vir,Jun_Total,Jul_HMV,Jul_VMS-U,Jul_VMS-Q,Jul_Vir,Jul_Total,Month,Weeks
SUGX-A0S       ,Baseus Magnetic Air Vent Car Mount Holder with cable clip Silver,6.95316E+12,61,4,0,,,4,11.4,11.7,,,11.7,37.95,24.5,,,,49,,,,0,,,0,,0,,,0,,0,,,0,,0,,,0,1,0,,,1,,0,,,0,0,0,,,0,1,5
SUHZ-01        ,BASEUS BACK SEAT CAR MOUNT BLACK                                                                              ,6.95316E+12,10,,8,13,,21,,14,14,,14,,35,39.5,,,73,79,,,,,,0,,,,,0,,,,,0,,0,0,,0,,2,0,,2,,14,0,,14,,16,2,,18,3,5
SUHZ-2S        ,BASEUS BACK SEAT CAR MOUNT SILVER                                                                             ,6.95316E+12,1,,0,0,,0,,14,14,,14,,35,39.5,,,73,79,,,,,,0,,,,,0,,,,,0,,0,0,,0,,0,0,,0,,0,0,,0,,0,0,,0,0,5
SUHZ-91,Baseus Back Seat Car Mount Holder Black+Red,6.95316E+12,,2,,,,2,,,,,0,37.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
,Baseus Cross Peas Cable Clip Black,6.95316E+12,4,,,,5,5,,,,,0,,,,26.6805,,,,49,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,5
CATCY-B0G      ,BASEUS TYPE C TO HDMI JOINT ADAPTER CABLE 1.8M DARK GREY                                                      ,6.95316E+12,1,,1,,,1,,65,,,65,,129.5,,,,269,,,,1,,,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,1,5
,Baseus iP Male to iP+iP Female Adapter L37 Black,6.95316E+12,56,,,,2,2,,,,,0,,,,64.7955,,,,119,,,,,0,,,,,0,,,,1,1,,,,0,0,,,,0,0,,,,0,0,,,,0,0,1,5
,Baseus Enjoyment  USB to 3xUSB3.0  Dark gray,6.95316E+12,1,,,,3,3,,,,,0,,,,53.9055,,,,99,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,5
,Baseus Thin QC30 display Power bank 10000mAh Black,6.95316E+12,63,,,,3,3,,,,,0,,,,119.2455,,,,219,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,5
,Baseus Thin display Power bank 10000mAh Red,6.95316E+12,35,,,,0,0,,,,,0,,,,119.2455,,,,219,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,1,1,,,,0,0,,,,0,0,1,5
,Baseus wheel Ring Bracket Black+Silver,6.95316E+12,,,,,4,4,,,,,0,,,,32.1255,,,,59,,,,,0,,,,,0,,,,5,5,,,,0,0,,,,0,0,,,,0,0,,,,1,1,2,5
,Baseus wheel Ring Bracket B+S,6.95316E+12,6,,,,5,5,,,,,0,,,,32.1255,,,,59,,,,,0,,,,,0,,,,1,1,,,,0,0,,,,3,3,,,,0,0,,,,1,1,3,5
,Baseus Encok Neck Hung Bluetooth  S16  Black,6.95316E+12,6,,,,3,3,,,,,0,,,,124.6905,,,,219,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,5
,Baseus Encok Neck Hung Bluetooth  S16  White,6.95316E+12,39,,,,3,3,,,,,0,,,,119.2455,,,,219,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,5
NGS16-06       ,BASEUS ENCOK NECK HUNG BLUETOOTH EARPHONES S16 GREEN                                                          ,6.95316E+12,52,,0,,,0,,46.37,,,46.37,,99.5,,,,209,,,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,0,5
NGS16-09       ,Baseus Encok Neck Hung Bluetooth Earphone S16  Red,6.95316E+12,1,,0,,1,1,,46.64,,,46.64,,99.5,,119.2455,,209,,219,,0,,,0,,0,,,0,,0,,2,2,,0,,0,0,,0,,0,0,,0,,0,0,,0,,0,0,1,5
SGAPIPHX-TZ01  ,BASEUS GLASS FILM SET BLACK FOR IPHONE X                                                                      ,6.95316E+12,272,,17,,,17,,11.77,,,11.77,,49.5,,,,109,,,,0,,,0,,1,,,1,,14,,,14,,14,,,14,,6,,,6,,15,,,15,,2,,,2,6,5
ACAPIPH-EA9    ,BASEUS RED-HAT TYPE-C 32GB USB FLASH DISK                                                                     ,6.95316E+12,36,,1,,,1,,47.3,,,47.3,,104.5,,,,219,,,,2,,,2,,0,,,0,,0,,,0,,0,,,0,,1,,,1,,0,,,0,,0,,,0,2,5
CAMLT-FW09,Baseus Rapid Series 3-in-1 cable 1.2m For IP+Micro+Type-C Red,6.95316E+12,6,4,,,,4,15.09,,,,15.09,37.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,,,,1,1,5
,Baseus Type-C Male To Type-C Female +3.5 L40 Black,6.95316E+12,90,,,,2,2,,,,,0,,,,37.5705,,,,69,,,,,0,,,,,0,,,,1,1,,,,0,0,,,,0,0,,,,0,0,,,,0,0,1,5
,Baseus Type-C Male To Type-C  +3.5 L40 Sil+ Black,6.95316E+12,97,,,,3,3,,,,,0,,,,37.5705,,,,69,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,5
,Baseus Encok Wireless Headphone D01 red,6.95316E+12,9,,,,1,1,,,,,0,,,,113.8005,,,,209,,,,,0,,,,,0,,,,0,0,,,,1,1,,,,0,0,,,,1,1,,,,0,0,2,5
,Baseus Encok Wireless Headphone D01 Blush gold,6.95316E+12,2,,,,1,1,,,,,0,,,,113.8005,,,,209,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,1,1,,,,1,1,2,5
,Baseus Encok Wireless Headphone D01 Tarnish,6.95316E+12,13,,,,2,2,,,,,0,,,,113.8005,,,,209,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,1,1,1,5
ACAPIPHX-BJ01  ,BASEUS PLAID BLACK 3500MAH POWER BANK FOR IPHONE X                                                            ,6.95316E+12,30,,0,8,,8,,46.78,46.78,,46.78,,89.5,94.5,,,189,189,,,5,,,5,,2,16,,18,,0,7,,7,,0,15,,15,,0,6,,6,,0,5,,5,,0,7,,7,7,5
CATSY-0G       ,BASEUS TYPE-C MALE TO HDMI MALE 4K HD ADAPTER CABLE 1.8M                                                      ,6.95316E+12,15,,1,,,1,,40.99,,,40.99,,89.5,,,,189,,,,3,,,3,,2,,,2,,4,,,4,,0,,,0,,1,,,1,,0,,,0,,0,,,0,4,5
CATSX-F0G      ,BASEUS 10-IN-1 HUB ADAPTER                                                                                    ,6.95316E+12,19,,0,,,0,,161.91,,,161.91,,344.5,,,,719,,,,1,,,1,,1,,,1,,1,,,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,3,5
PPKC-A01       ,Baseus Quick Charge Power Bank(20000 mAh Black,6.95316E+12,40,,11,,3,14,,61.89,,,61.89,,119.5,,141.0255,,249,,259,,1,,,1,,0,,,0,,0,,0,0,,4,,1,5,,5,,0,5,,5,,1,6,,7,,0,7,5,5
PPKC-A02       ,Baseus Quick Charge Power Bank(20000 mAhWhite,6.95316E+12,33,,3,,4,7,,63.4,,,63.4,,119.5,,141.0255,,249,,259,,0,,,0,,0,,,0,,1,,0,1,,1,,1,2,,4,,0,4,,4,,0,4,,3,,0,3,5,5
PPKC-A09       ,Baseus Quick Charge Power Bank(20000 mAhRed,6.95316E+12,27,,0,,2,2,,63.4,,,63.4,,119.5,,141.0255,,249,,259,,0,,,0,,0,,,0,,2,,3,5,,1,,0,1,,2,,0,2,,1,,0,1,,0,,0,0,4,5
NGS07-01       ,BASEUS ENCOK BLACK SPORTS WIRELESS IN-EAR EARPHONES S07                                                       ,6.95316E+12,34,,5,,,5,,27.24,,,27.24,,49.5,,,,99,,,,0,,,0,,1,,,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,1,5
NGS07-S9       ,BASEUS ENCOK SILVER/RED SPORTS WIRELESS IN-EAR EARPHONES S07                                                  ,6.95316E+12,20,,0,,,0,,27.24,,,27.24,,49.5,,,,99,,,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,0,5
NGS07-19       ,BASEUS ENCOK RED/BLACK SPORTS WIRELESS IN-EAR EARPHONES S07                                                   ,6.95316E+12,,,0,,,0,,26.99,,,26.99,,49.5,,,,99,,,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,0,5
WXJS-A1        ,BASEUS METAL WIRELESS CHARGER TARNISH/BLACK                                                                   ,6.95316E+12,47,,0,,,0,,31.09,,,31.09,,79.5,,,,169,,,,0,,,0,,1,,,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,1,5
WXJS-S2        ,BASEUS METAL WIRELESS CHARGER SILVER/WHITE                                                                    ,6.95316E+12,60,,0,,,0,,31.03,,,31.03,,79.5,,,,169,,,,1,,,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,1,5
WXYL-A01       ,Baseus Osculum Wireless Gravity Car Charger,6.95316E+12,119,5,24,16,,45,29.11,37.13,37.13,,37.13,87.45,74.5,79.5,,,156,159,,,,,,0,,,,,0,,,,,0,,8,0,,8,,16,0,,16,,9,2,,11,0,12,2,,14,4,5
,Baseus Encok Headphone Holder DB01,6.95316E+12,32,,,,5,5,,,,,0,,,,53.9055,,,,99,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,5
ACAPIPHX-ABJ01 ,BASEUS 1+1 BLACK WIRELESS CHARGE 5000MAH POWER BANK FOR IPHONE XS/X                                           ,6.95316E+12,,,0,,,0,,63.54,,,63.54,,119.5,,,,249,,,,3,,,3,,1,,,1,,1,,,1,,2,,,2,,0,,,0,,0,,,0,,0,,,0,4,5
CCALL-JK01     ,Baseus Simple Wireless Charger Black,6.95316E+12,4,3,0,,,3,25.97,25.97,,,25.97,70.95,54.5,,,,119,,,,1,,,1,,1,,,1,,3,,,3,,0,,,0,,0,,,0,,0,,,0,0,0,,,0,3,5
CCALL-JK02     ,BASEUS SIMPLE WIRELESS CHARGER WHITE                                                                          ,6.95316E+12,13,,1,,,1,,25.65,,,25.65,,54.5,,,,119,,,,3,,,3,,0,,,0,,1,,,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,2,5
PPALL-EX01     ,BASEUS DUAL OUTPUT WIRELESS CHARGE POWER BANK 8000MAH BLACK                                                   ,6.95316E+12,2,,0,,,0,,43.38,,,43.38,,79.5,,,,169,,,,4,,,4,,3,,,3,,4,,,4,,9,,,9,,0,,,0,,0,,,0,,2,,,2,5,5
PPALL-EX09     ,Baseus full screen bracket wireless charge Power Bank 8000mAh red,6.95316E+12,,2,4,,,6,,43.13,,,43.13,98.45,79.5,,,,169,,,,1,,,1,,1,,,1,,5,,,5,,1,,,1,,0,,,0,,1,,,1,0,0,,,0,5,5
ACCHZ-01       ,Baseus Rotation Type Universal Charger Black,6.95316E+12,60,5,12,3,,20,24.31,25.36,25.36,,25.36,65.45,49.5,54.5,,,109,109,,,4,,,4,,3,1,,4,,2,5,,7,,10,1,,11,,5,2,,7,,11,0,,11,0,9,1,,10,7,5
SUYZD-01       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET BLACK                                                             ,6.95316E+12,777,,31,18,,49,,13.62,13.62,,13.62,,34.5,34.5,,,69,69,,,11,,,11,,11,13,,24,,19,11,,30,,26,11,,37,,28,9,,37,,23,11,,34,,30,12,,42,7,5
SUYZD-09       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET RED                                                               ,6.95316E+12,15,,16,7,,23,,13.95,13.95,,13.95,,34.5,34.5,,,69,69,,,8,,,8,,2,4,,6,,5,7,,12,,8,4,,12,,6,6,,12,,5,1,,6,,9,4,,13,7,5
SUYZD-0S       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET SILVER                                                            ,6.95316E+12,264,,33,16,,49,,13.95,13.95,,13.95,,34.5,34.5,,,69,69,,,11,,,11,,4,12,,16,,22,5,,27,,18,12,,30,,9,3,,12,,8,4,,12,,14,15,,29,7,5
PPALL-PX01     ,Baseus Parallel line portable version Power Bank 10000mAh Black,6.95316E+12,18,5,0,,2,7,26.9,26.9,,,26.9,76.45,59.5,,75.6855,,129,,139,,2,,,2,,0,,,0,,0,,0,0,,4,,0,4,,1,,0,1,,1,,1,2,0,0,,0,0,4,5
PPALL-PX02     ,Baseus Parallel line  Power Bank 10000mAh White,6.95316E+12,13,,9,,1,10,,26.9,,,26.9,,59.5,,75.6855,,129,,139,,0,,,0,,1,,,1,,7,,0,7,,5,,0,5,,9,,0,9,,5,,0,5,,5,,1,6,6,5
PPALL-PX03     ,Baseus Parallel line  Power Bank 10000mAh Blue,6.95316E+12,31,,0,,1,1,,26.96,,,26.96,,59.5,,75.6855,,129,,139,,0,,,0,,0,,,0,,0,,0,0,,0,,0,0,,0,,0,0,,0,,2,2,,0,,0,0,1,5
CCALL-AJK01    ,BASEUS SIMPLE WIRELESS CHARGER TRANSPARENT                                                                    ,6.95316E+12,9,,0,,,0,,24.62,,,24.62,,54.5,,,,119,,,,1,,,1,,2,,,2,,2,,,2,,0,,,0,,0,,,0,,0,,,0,,0,,,0,3,5
NGW02-01       ,Baseus Encok W02 TWS Truly Wireless headset Black,6.95316E+12,4,2,7,8,,17,53.34,57.06,57.06,,57.06,120.45,104.5,109.5,,,219,219,,,10,,,10,,4,4,,8,,11,10,,21,,5,3,,8,,7,2,,9,3,1,6,,10,1,3,6,,10,7,5
NGW02-02       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET WHITE                                                             ,6.95316E+12,51,,6,11,,17,,53.97,53.97,,53.97,,104.5,109.5,,,219,219,,,3,,,3,,4,3,,7,,4,7,,11,,4,3,,7,,1,3,,4,,1,2,,3,,0,5,,5,7,5
CAMLT-ASY01,Baseus Three Primary Colors 3-in-1 Cable USB For M+L+T 3.5A 30C,6.95316E+12,91,2,,,0,2,7.99,,,,7.99,32.45,,,32.1255,,,,59,,,,,0,,,,,0,,,,1,1,,,,1,1,1,,,2,3,1,,,3,4,1,,,0,1,5,5
CALXD-A01,Baseus X-type Light Cable For Lightning 2A 0.5M Black,6.95316E+12,19,5,,,0,5,7.85,,,,7.85,32.45,,,32.1255,,,,59,,,,,0,,,,,0,,,,1,1,,,,1,1,,,,1,1,,,,2,2,0,,,0,0,4,5
,Baseus X-type  Cable For Lightning 2.4A .5M Purple,6.95316E+12,32,,,,0,0,,,,,0,,,,32.1255,,,,59,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,2,2,,,,2,2,,,,1,1,3,5
CALXD-A09,Baseus X-type Light Cable For Lightning 2.4A 0.5M Red,6.95316E+12,25,2,,,0,2,7.85,,,,7.85,32.45,,,32.1255,,,,59,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,1,,,3,4,2,,,2,4,2,5
PPALL-QY01     ,BASEUS THIN WIRELESS CHARGE 10000MAH POWER BANK BLACK                                                         ,6.95316E+12,3,,3,,,3,,50.97,,,50.97,,109.5,,,,229,,,,0,,,0,,1,,,1,,2,,,2,,0,,,0,,0,,,0,,0,,,0,,0,,,0,2,5
PPALL-QY02     ,BASEUS THIN WIRELESS CHARGE 10000 MAH POWER BANK WHITE                                                        ,6.95316E+12,,,2,,,2,,49.81,,,49.81,,109.5,,,,229,,,,0,,,0,,0,,,0,,5,,,5,,6,,,6,,6,,,6,,4,,,4,,4,,,4,5,5
PPALL-QY04     ,BASEUS THIN WIRELESS CHARGE 10000MAH POWER BANK PINK                                                          ,6.95316E+12,23,,1,,,1,,49.81,,,49.81,,109.5,,,,229,,,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,0,5
WXHSG-01       ,Baseus Silicone Horizontal Desktop Wireless Charger Black,6.95316E+12,30,3,0,,,3,28.72,28.72,,,28.72,76.45,59.5,,,,129,,,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,0,0,,,0,0,5
WXHSG-02       ,BASEUS SILCIONE HORIZONTAL DESKTOP WIRELESS CHARGER WHITE                                                     ,6.95316E+12,39,,0,,,0,,28.72,,,28.72,,59.5,,,,129,,,,0,,,0,,1,,,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,1,5
,Baseus Encok S10 Dual Dynamic Bluetooth  White,6.95316E+12,26,,,,3,3,,,,,0,,,,124.6905,,,,229,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,5
,Baseus Encok S10 Dual Dynamic Bluetooth  Red,6.95316E+12,6,,,,2,2,,,,,0,,,,124.6905,,,,229,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,1,1,1,5
WXXHJ-B01      ,Baseus Dual Wireless Charger Black,6.95316E+12,6,5,0,,,5,77.21,77.21,,,77.21,164.45,139.5,,,,289,,,,5,,,5,,1,,,1,,3,,,3,,0,,,0,,0,,,0,,0,,,0,0,0,,,0,3,5
WXXHJ-B0S      ,Baseus Dual Wireless Charger Silver,6.95316E+12,,5,15,,,20,76.08,76.08,,,76.08,164.45,139.5,,,,289,,,,0,,,0,,0,,,0,,4,,,4,,8,,,8,,7,,,7,,12,,,12,,0,,,0,4,5
CCALL-RH01     ,BASEUS LOCOMOTIVE BLUETOOTH MP3 VEHICLE CHARGER BLACK                                                         ,6.95316E+12,5,,3,19,,22,,24.73,24.73,,24.73,,44.5,49.5,,,99,99,,,12,,,12,,8,11,,19,,13,6,,19,,3,6,,9,,3,5,,8,,3,1,,4,,1,13,,14,7,5
CAHUB-B0G      ,BASEUS THUNDERBOLT C+ DUAL TYPE-C TO USB3.0/HDMI/TYPE-C FEMALE HUB CONVERTER DEEP SPACE GRAY                  ,6.95316E+12,20,,1,,,1,,79.89,,,79.89,,169.5,,,,359,,,,5,,,5,,1,,,1,,3,,,3,,2,,,2,,6,,,6,,0,,,0,,0,,,0,5,5
SUJX-01        ,BASEUS GOLD AROMATIZING AIR VENT CAR MOUNT                                                                    ,6.95316E+12,,,0,,,0,,22,,,22,,44.5,,,,99,,,,3,,,3,,1,,,1,,2,,,2,,0,,,0,,0,,,0,,0,,,0,,0,,,0,3,5
ACSR-MS01      ,BASEUS MAGIC MONSTER GAMEPAD STYLE POWER BANK 2000MAH                                                         ,6.95316E+12,,,0,0,,0,,24.14,24.14,,24.14,,49.5,54.5,,,109,109,,,7,,,7,,2,0,,2,,6,0,,6,,4,0,,4,,3,0,,3,,2,0,,2,,0,0,,0,6,5
,Baseus Dual Wireless Plastic Style Charger Black,6.95316E+12,,,,,2,2,,,,,0,,,,151.9155,,,,279,,,,,0,,,,,0,,,,0,0,,,,1,1,,,,0,0,,,,0,0,,,,0,0,1,5
,Baseus Dual Wireless Plastic Style Charger White,6.95316E+12,3,,,,3,3,,,,,0,,,,151.9155,,,,279,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,5
SUBR-08,Baseus Bear Finger Metal Ring Grip Stand Holder Brown,6.95316E+12,,3,,,6,9,6.49,,,,6.49,26.95,,,26.6805,,,,49,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,1,,,0,1,1,5
,Baseus Bear Finger Metal Ring Grip  Red,6.95316E+12,2,,,,6,6,,,,,0,,,,26.6805,,,,49,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,5
,Baseus Fish eye Spring Data Cable Black,6.95316E+12,4,,,,2,2,,,,,0,,,,37.5705,,,,69,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,1,1,,,,2,2,,,,0,0,2,5
,Baseus Fish eye Spring Data Cable Red,6.95316E+12,88,,,,0,0,,,,,0,,,,37.5705,,,,69,,,,,0,,,,,0,,,,2,2,,,,1,1,,,,0,0,,,,0,0,,,,2,2,3,5
SGAPIPHX-RA01  ,BASEUS DROP-PROOF CURVED FULL SCREEN TEMPERED GLASS BLACK FOR IPHONE X                                        ,6.95316E+12,44,,2,,,2,,7.44,,,7.44,,44.5,,,,99,,,,4,,,4,,12,,,12,,26,,,26,,16,,,16,,3,,,3,,2,,,2,,1,,,1,7,5
CAMLT-PY09,Baseus Data Faction 3-in-1 Cable USB For M+L+T 3.5A 1.2M Red,6.95316E+12,,3,,,,3,10.98,,,,10.98,37.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,1,,,,1,,,,,0,1,,,,1,2,5
WXBV-01        ,BASEUS BV WIRELESS CHARGER BLACK                                                                              ,6.95316E+12,25,,0,,,0,,20.21,,,20.21,,44.5,,,,99,,,,2,,,2,,1,,,1,,3,,,3,,0,,,0,,0,,,0,,0,,,0,,0,,,0,3,5
WXBV-02        ,BASEUS BV WIRELESS CHARGER WHITE                                                                              ,6.95316E+12,52,,0,,,0,,20.25,,,20.25,,44.5,,,,99,,,,0,,,0,,0,,,0,,3,,,3,,0,,,0,,0,,,0,,0,,,0,,0,,,0,1,5
WXBV-03        ,BASEUS BV WIRELESS CHARGER BLUE                                                                               ,6.95316E+12,,,0,,,0,,20.25,,,20.25,,44.5,,,,99,,,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,0,5
CA1T4-B01,Baseus Fast 4-in-1 Cable For lightning+Type-C(2)+Micro 3.5A 1.2M B,6.95316E+12,97,4,,,,4,10.86,,,,10.86,37.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,,,,1,1,5
ACDKQ-HG01     ,BASEUS PENDANT CARD READER BLACK                                                                              ,6.95316E+12,1,,0,,,0,,17.55,,,17.55,,39.5,,,,79,,,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,0,5
ACDKQ-HG0S     ,BASEUS PENDANT CARD READER SILVER                                                                             ,6.95316E+12,,,0,,,0,,17.55,,,17.55,,39.5,,,,79,,,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,0,5
ACBZ-AP01      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL BLACK                                               ,6.95316E+12,97,,3,,,3,,9.37,,,9.37,,24.5,,,,49,,,,1,,,1,,0,,,0,,1,,,1,,0,,,0,,1,,,1,,0,,,0,,0,,,0,3,5
ACBZ-AP09      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL RED                                                 ,6.95316E+12,70,,3,,,3,,9.37,,,9.37,,24.5,,,,49,,,,0,,,0,,0,,,0,,1,,,1,,1,,,1,,0,,,0,,0,,,0,,0,,,0,2,5
ACBZ-AP0G      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL GREY                                                ,6.95316E+12,65,,0,,,0,,9.37,,,9.37,,24.5,,,,49,,,,1,,,1,,1,,,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,2,5
CATL45-01      ,BASEUS AUDIO CONVERTER CATL45                                                                                 ,6.95316E+12,2,,19,0,,19,,9.66,9.66,,9.66,,29.5,34.5,,,62,69,,,,,,0,,,,,0,,,,,0,,2,0,,2,,13,0,,13,,8,0,,8,,8,0,,8,4,5
,Baseus Cube USB to USB3.0*+USB2.0*2 HUB  Dark gray,6.95316E+12,13,,,,2,2,,,,,0,,,,70.2405,,,,129,,,,,0,,,,,0,,,,0,0,,,,1,1,,,,0,0,,,,1,1,,,,1,1,3,5
CAHUB-D0G      ,BASEUS CUBE TYPE-C TO USB3.0X3+USB2.0X2 HUB ADAPTER DARK GRAY                                                 ,6.95316E+12,1,,0,5,,5,,27,27,,27,,59.5,64.5,,,129,129,,,8,,,8,,7,2,,9,,5,2,,7,,3,3,,6,,0,3,,3,,0,2,,2,,1,1,,2,7,5
