Sku,UPC,Catalogue N,Title,Label,Cost Price,V.S.P.,,301.Quantit,301.Sales Quantity,301.Sales Value,302.Quantit,302.Sales Quantity,302.Sales Value,306.Quantit,306.Sales Quantity,306.Sales Value,307.Quantit,307.Sales Quantity,307.Sales Value,390.Quantit,390.Sales Quantity,390.Sales Value
317277,4.72E+12,BK18002-BK     ,BONE COLLECTION BIKE TIE PRO 2 BLACK                                                                          ,BONE COLLECTION               ,44.5,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317278,4.72E+12,BK18002-R      ,BONE COLLECTION BIKE TIE PRO 2 RED                                                                            ,BONE COLLECTION               ,44.5,89,6,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0
317280,4.72E+12,BK18002-GR     ,BONE COLLECTION BIKE TIE PRO 2 GREY                                                                           ,BONE COLLECTION               ,44.5,89,6,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0
317296,4.72E+12,PH18502-GR     ,BONE COLLECTION RUN TIE GREY L ARMBAND                                                                        ,BONE COLLECTION               ,49.5,99,25,8,0,0,6,0,0,5,0,0,6,0,0,0,0,0
317301,4.72E+12,PH18501-GR     ,BONE COLLECTION RUN TIE GREY S ARMBAND                                                                        ,BONE COLLECTION               ,49.5,99,9,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0
317311,4.72E+12,PH18101-DEE    ,BONE COLLECTION MR DEER QCASE FOR IPHONE XS                                                                   ,BONE COLLECTION               ,34.5,69,18,8,0,0,3,1,69,4,0,0,3,1,69,0,0,0
317312,4.72E+12,PH18101-DUC    ,BONE COLLECTION PATTI DUCK QCASE FOR IPHONE XS                                                                ,BONE COLLECTION               ,34.5,69,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317316,4.72E+12,PH18101-CAT    ,BONE COLLECTION MIAO CAT QCASE FOR IPHONE XS                                                                  ,BONE COLLECTION               ,34.5,69,2,1,2,138,0,0,0,1,0,0,0,0,0,0,0,0
317320,4.72E+12,PH18080-DEE    ,BONE COLLECTION MR DEER QCASE FOR IPHONE XS MAX                                                               ,BONE COLLECTION               ,34.5,69,16,6,0,0,2,0,0,4,0,0,4,0,0,0,0,0
317324,4.72E+12,PH18080-DUC    ,BONE COLLECTION PATTI DUCK QCASE FOR IPHONE XS MAX                                                            ,BONE COLLECTION               ,34.5,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317327,4.72E+12,PH18080-CAT    ,BONE COLLECTION MIAO CAT QCASE FOR IPHONE XS MAX                                                              ,BONE COLLECTION               ,34.5,69,12,8,0,0,0,0,0,1,0,0,3,0,0,0,0,0
317333,4.72E+12,PH18082-PEN    ,BONE COLLECTION MARU PENGUIN BUBBLE CASE FOR IPHONE XS                                                        ,BONE COLLECTION               ,34.5,69,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317335,4.72E+12,PH18082-DEE    ,BONE COLLECTION MR DEER BUBBLE CASE FOR IPHONE XS                                                             ,BONE COLLECTION               ,34.5,69,18,8,0,0,3,0,0,3,0,0,4,0,0,0,0,0
317336,4.72E+12,PH18082-DUC    ,BONE COLLECTION PATTI DUCK BUBBLE CASE FOR IPHONE XS                                                          ,BONE COLLECTION               ,34.5,69,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317339,4.72E+12,PH18082-CAT    ,BONE COLLECTION MIAO CAT BUBBLE CASE FOR IPHONE XS                                                            ,BONE COLLECTION               ,34.5,69,7,3,1,69,0,1,69,2,0,0,2,0,0,0,0,0
317343,4.72E+12,PH18084-DEE    ,BONE COLLECTION MR DEER BUBBLE CASE FOR IPHONE XS MAX                                                         ,BONE COLLECTION               ,34.5,69,25,8,0,0,6,0,0,6,0,0,5,0,0,0,0,0
317345,4.72E+12,PH18084-CAT    ,BONE COLLECTION MIAO CAT BUBBLE CASE FOR IPHONE XS MAX                                                        ,BONE COLLECTION               ,34.5,69,18,6,0,0,2,0,0,4,0,0,6,0,0,0,0,0
663479,6.95E+12,CAHUB-AZ0G     ,BASEUS SUPERLATIVE MULTIFUNCTIONAL HUB DEEP GREY                                                              ,BASEUS                        ,155,309,25,5,0,0,4,0,0,8,0,0,8,0,0,0,0,0
663480,6.95E+12,NGH15-01       ,BASEUS GAMO H15 BLACK 3.5MM WIRED IN-EAR EARPHONES                                                            ,BASEUS                        ,54.5,109,23,8,0,0,0,0,0,8,0,0,7,1,109,0,0,0
663481,6.95E+12,NGH15-91       ,BASEUS GAMO H15 RES/BLACK 3.5MM WIRED IN-EAR EARPHONES                                                        ,BASEUS                        ,54.5,109,34,10,0,0,8,0,0,8,0,0,8,0,0,0,0,0
663501,6.95E+12,NGW01-01       ,BASEUS ENCOK W01 BLACK TRUE WIRELESS IN-EAR EARPHONES                                                         ,BASEUS                        ,119.5,239,34,10,0,0,8,0,0,8,0,0,8,0,0,0,0,0
665858,6.95E+12,NGW01-02       ,BASEUS ENCOK W01 WHITE TRUE WIRELESS IN-EAR EARPHONES                                                         ,BASEUS                        ,119.5,239,34,10,0,0,8,0,0,8,0,0,8,0,0,0,0,0
665859,6.95E+12,NGA03-01       ,BASEUS ENCOK A03 BLACK WIRELESS IN-EAR EARPHONES                                                              ,BASEUS                        ,74.5,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665860,6.95E+12,NGA03-02       ,BASEUS ENCOK A03 WHITE WIRELESS IN-EAR EARPHONES                                                              ,BASEUS                        ,74.5,149,25,10,0,0,8,0,0,0,0,0,7,1,149,0,0,0
665862,6.95E+12,WXYDIW02-01    ,BASEUS DOTTER BLACK WIRELESS CHARGER FOR APPLE WATCH                                                          ,BASEUS                        ,54.5,109,28,10,0,0,8,0,0,8,0,0,2,5,545,0,0,0
671807,6.95E+12,WXYDIW02-02    ,BASEUS DOTTER WHITE WIRELESS CHARGER FOR APPLE WATCH                                                          ,BASEUS                        ,54.5,109,22,3,0,0,5,0,0,7,1,109,7,1,109,0,0,0
671812,6.95E+12,PPLG-01        ,BASEUS AMBLIGHT 30000MAH POWER BANK BLACK                                                                     ,BASEUS                        ,149.5,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
674011,6.95E+12,SUDYZP-D19     ,BASEUS FULLY FOLDING SELFIE STICK BLACK/RED                                                                   ,BASEUS                        ,79.5,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676636,6.95E+12,SUDYZP-D1S     ,BASEUS FULLY FOLDING SELFIE STICK BLACK/SLIVER                                                                ,BASEUS                        ,79.5,159,13,2,0,0,4,0,0,4,4,636,3,5,795,0,0,0
676638,6.95E+12,SUDYZP-D1V     ,BASEUS FULLY FOLDING SELFIE STICK BLACK/GOLD                                                                  ,BASEUS                        ,79.5,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676641,7.45E+12,BDC-480 SILVER ,BRAVE MFI LIGHTNING CABLE 1M SILVER                                                                           ,BRAVE                         ,34.5,69,28,9,1,69,6,0,0,8,0,0,5,2,138,0,0,0
676642,7.45E+12,BDC-480 BLACK  ,BRAVE MFI LIGHTNING CABLE 1M BLACK                                                                            ,BRAVE                         ,34.5,69,26,10,0,0,6,0,0,8,0,0,2,1,69,0,0,0
734836,6.95E+12,WXZN-01        ,BASEUS CAR WIRELESS CHARGER SMART VEHICLE BRACKET                                                             ,BASEUS                        ,74.5,149,20,4,1,149,7,0,0,5,0,0,4,0,0,0,0,0
734837,6.95E+12,ACHDCJ-01      ,BASEUS HOLDER RED-DOT MOBILE GAME SCORING TOOL BLACK                                                          ,BASEUS                        ,24.5,49,25,17,1,49,2,1,49,6,0,0,0,0,0,0,0,0
734838,6.95E+12,ACHDCJ-02      ,BASEUS HOLDER RED-DOT MOBILE GAME SCORING TOOL TRANSPARENT                                                    ,BASEUS                        ,24.5,49,38,6,0,0,10,0,0,8,4,196,14,1,49,0,0,0
734867,6.95E+12,NGW02-01       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET BLACK                                                             ,BASEUS                        ,109.5,219,8,1,1,219,1,0,0,3,0,0,3,0,0,0,0,0
734868,6.95E+12,NGW02-02       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET WHITE                                                             ,BASEUS                        ,109.5,219,11,7,0,0,2,0,0,0,0,0,2,0,0,2,0,0
734881,6.95E+12,WX2IN1-02      ,BASEUS SMART 2 IN 1 WIRELESS CHARGER WHITE                                                                    ,BASEUS                        ,89.5,179,15,0,3,537,9,2,358,6,0,0,0,0,0,0,0,0
734882,6.95E+12,PPALL-AKU01    ,BASEUS MINI CU DIGITAL DISPLAY POWER BANK 10000MAH BLACK                                                      ,BASEUS                        ,69.5,139,17,10,0,0,3,0,0,0,0,0,4,1,139,0,0,0
734895,6.95E+12,CCALL-RH01     ,BASEUS LOCOMOTIVE BLUETOOTH MP3 VEHICLE CHARGER BLACK                                                         ,BASEUS                        ,49.5,99,19,4,2,198,5,2,198,7,0,0,3,0,0,0,0,0
734899,6.95E+12,ACCHZ-01       ,BASEUS ROTATION TYPE UNIVERSAL CHARGER BLACK                                                                  ,BASEUS                        ,54.5,109,3,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0
734904,6.95E+12,CAHUB-D0G      ,BASEUS CUBE TYPE-C TO USB3.0X3+USB2.0X2 HUB ADAPTER DARK GRAY                                                 ,BASEUS                        ,64.5,129,5,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0
734907,6.95E+12,SUGENT-ATR01   ,BASEUS CURVE MAGNET CAR MOUNT                                                                                 ,BASEUS                        ,24.5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734909,6.95E+12,SUER-A01       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET BLACK                                                     ,BASEUS                        ,24.5,49,11,6,0,0,3,0,0,2,0,0,0,0,0,0,0,0
734911,6.95E+12,SUER-A0S       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE SILVER                                               ,BASEUS                        ,24.5,49,8,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0
734916,6.95E+12,SUHS-DP01      ,BASEUS DOUBLE CLIP HORIZONTAL VEHICLE MOUNT BLACK                                                             ,BASEUS                        ,29.5,59,16,3,2,118,6,0,0,3,0,0,4,0,0,0,0,0
734920,6.95E+12,SUYZD-01       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET BLACK                                                             ,BASEUS                        ,34.5,69,18,10,2,138,6,0,0,2,0,0,0,1,69,0,0,0
734921,6.95E+12,SUYZD-09       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET RED                                                               ,BASEUS                        ,34.5,69,7,5,0,0,2,1,69,0,1,69,0,0,0,0,0,0
734922,6.95E+12,SUYZD-0S       ,BASEUS BULLET ON-BOARD CAR MAGNETIC BRACKET SILVER                                                            ,BASEUS                        ,34.5,69,16,3,2,138,7,1,69,3,1,69,3,0,0,0,0,0
734927,6.95E+12,SUER-B01       ,BASEUS SMALL EARS VERTICAL MAGNETIC BRACKET BLACK                                                             ,BASEUS                        ,24.5,49,8,0,1,49,4,0,0,3,0,0,1,0,0,0,0,0
734928,6.95E+12,SUER-B0S       ,BASEUS SMALL EARS VERTICAL MAGNETIC BRACKET ROSE SILVER                                                       ,BASEUS                        ,24.5,49,16,4,1,49,4,0,0,5,0,0,3,1,49,0,0,0
734941,6.95E+12,WXXP-01        ,BASEUS WIRELESS CHARGER SUCTION CUP BLACK                                                                     ,BASEUS                        ,44.5,89,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
734942,6.95E+12,TZARGS-09      ,BASEUS CASE FOR AIRPODS RED                                                                                   ,BASEUS                        ,24.5,49,14,4,0,0,5,0,0,1,0,0,4,1,49,0,0,0
734943,6.95E+12,TZARGS-01      ,BASEUS CASE FOR AIRPODS BLACK                                                                                 ,BASEUS                        ,24.5,49,5,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0
734944,6.95E+12,TZARGS-G2      ,BASEUS CASE FOR AIRPODS GRAY                                                                                  ,BASEUS                        ,24.5,49,27,12,0,0,7,0,0,2,0,0,6,0,0,0,0,0
734948,6.95E+12,ACSR-MS01      ,BASEUS MAGIC MONSTER GAMEPAD STYLE POWER BANK 2000MAH                                                         ,BASEUS                        ,54.5,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
738078,6.95E+12,ACSLCJ-06      ,BASEUS GRENADE BLACK/ARMY GREEN GRIP FOR SMARTPHONES                                                          ,BASEUS                        ,24.5,49,28,16,0,0,4,0,0,6,1,49,2,1,49,0,0,0
739727,6.95E+12,WIAPPOD-01     ,BASEUS PROTECTIVE CASE/WIRELESS CHARGER BLACK FOR AIRPODS                                                     ,BASEUS                        ,49.5,99,13,2,0,0,5,0,0,4,0,0,2,0,0,0,0,0
739728,6.95E+12,WIAPPOD-09     ,BASEUS PROTECTIVE CASE/WIRELESS CHARGER RED FOR AIRPODS                                                       ,BASEUS                        ,49.5,99,9,6,0,0,0,0,0,1,0,0,2,0,0,3,0,0
742248,6.95E+12,ACSLCJ-01      ,BASEUS GRENADE BLACK GRIP FOR SMARTPHONES                                                                     ,BASEUS                        ,24.5,49,25,12,1,49,0,3,147,7,1,49,6,3,147,0,0,0
742249,6.95E+12,SUCJLF-01      ,BASEUS WINNER COOLING HEAT SINK BLACK FOR SMARTPHONES                                                         ,BASEUS                        ,49.5,99,15,2,0,0,10,0,0,3,2,198,0,0,0,0,0,0
742292,6.95E+12,SGAPIPD-CX02   ,BASEUS 0.3MM TEMPERED GLASS FILM TRANSPARENT FOR IPAD PRO 11-INCH                                             ,BASEUS                        ,39.5,79,4,4,0,0,0,0,0,0,0,0,0,0,0,17,0,0
742293,6.95E+12,SGAPIPD-DX02   ,BASEUS 0.3MM ANTI-BLUE LIGHT TEMPERED GLASS FILM TRANSPARENT FOR IPAD PRO 11-INCH                             ,BASEUS                        ,49.5,99,3,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0
742294,6.95E+12,LTAPIPD-ASM03  ,BASEUS SIMPLISM Y-TYPE LEATHER CASE BLUE FOR IPAD PRO 11-INCH                                                 ,BASEUS                        ,79.5,159,10,7,0,0,3,1,159,0,0,0,0,0,0,10,0,0
742296,6.95E+12,SUGENT-XF01    ,BASEUS SUSPENSION GLASS DESKTOP BRACKET BLACK FOR SMARTPHONES                                                 ,BASEUS                        ,39.5,79,23,6,1,79,14,1,79,3,0,0,0,0,0,0,0,0
742298,6.95E+12,ACAPIPHX-BJ01  ,BASEUS PLAID BLACK 3500MAH POWER BANK FOR IPHONE X                                                            ,BASEUS                        ,94.5,189,8,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
742300,6.95E+12,ACPCL-01       ,BASEUS GOLDEN CUDGEL CAPACITIVE STYLUS BLACK                                                                  ,BASEUS                        ,29.5,59,36,16,0,0,8,2,118,7,0,0,5,1,59,0,0,0
743939,6.95E+12,NGH08-01       ,BASEUS H08 BLACK IMMERSIVE VIRTUAL 3D GAMING IN-EAR EARPHONES                                                 ,BASEUS                        ,144.5,289,7,1,0,0,1,0,0,3,0,0,2,0,0,0,0,0
743955,6.95E+12,WIAPIPH58-ASL03,BASEUS ORIGINAL LSR CASE LIGHT AQUA MARINE FOR IPHONE XS                                                      ,BASEUS                        ,34.5,69,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
743956,6.95E+12,WIAPIPH58-ASL04,BASEUS ORIGINAL LSR CASE PINK FOR IPHONE XS                                                                   ,BASEUS                        ,34.5,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
743968,6.95E+12,SUCJG9-02      ,BASEUS G9 MOBILE GAME SCORING TOOL WHITE FOR SMARTPHONES/TABLET                                               ,BASEUS                        ,24.5,49,23,13,1,49,4,0,0,6,1,49,0,1,49,0,0,0
743975,6.95E+12,SUCJG9-01      ,BASEUS G9 MOBILE GAME SCORING TOOL BLACK FOR SMARTPHONES/TABLET                                               ,BASEUS                        ,24.5,49,13,6,1,49,0,0,0,7,0,0,0,0,0,0,0,0
748127,4.72E+12,PH18502-BK     ,BONE COLLECTION RUN TIE BLACK LARGE FOR SMARTPHONES 4-6.5 INCH                                                ,BONE COLLECTION               ,49.5,99,5,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0
748129,4.72E+12,DR18041-32BK   ,BONE COLLECTION MARU PENGUIN 32GB USB 3.0                                                                     ,BONE COLLECTION               ,58,89,25,8,0,0,6,0,0,5,0,0,6,0,0,0,0,0
748131,4.72E+12,DR18043-32BR   ,BONE COLLECTION MR. DEER 32GB USB 3.0                                                                         ,BONE COLLECTION               ,58,89,25,7,0,0,6,0,0,6,0,0,6,0,0,0,0,0
758117,7.45E+12,BAC-105        ,BRAVE LIGHTNING TO 3.5MM AUDIO CABLE WHITE                                                                    ,BRAVE                         ,49.5,99,18,4,2,198,5,0,0,6,1,99,3,3,297,0,0,0
758119,7.45E+11,BTC-320BK      ,BRAVE 2-PORT USB WALL CHARGER BLACK                                                                           ,BRAVE                         ,49.5,99,27,0,0,0,7,0,0,6,0,0,14,0,0,0,0,0
758121,6.95E+12,SUWNT-01       ,BASEUS FOLDING UNIVERSAL STICKER BLACK                                                                        ,BASEUS                        ,34.5,69,17,5,0,0,3,1,69,5,0,0,4,0,0,0,0,0
758124,6.95E+12,SUWNT-02       ,BASEUS FOLDING UNIVERSAL STICKER TRANSPARENT                                                                  ,BASEUS                        ,34.5,69,26,12,0,0,5,0,0,4,0,0,5,0,0,0,0,0
758125,6.95E+12,WXYL-A01       ,BASEUS OSCULUM WIRELESS GRAVITY CAR CHARGER                                                                   ,BASEUS                        ,79.5,159,16,4,0,0,4,0,0,4,0,0,4,0,0,0,0,0
758126,6.95E+12,CATL45-01      ,BASEUS AUDIO CONVERTER CATL45                                                                                 ,BASEUS                        ,34.5,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758127,6.95E+12,CATL41-01      ,BASEUS TYPE-C TO 3.5MM AUDIO CHARGING ADAPTER BLACK                                                           ,BASEUS                        ,34.5,69,14,9,1,69,5,0,0,0,0,0,0,0,0,0,0,0
758128,6.95E+12,WXZN-B01       ,BASEUS SMART VEHICLE BRACKET WIRELESS CHARGER WITH INFRARED SENSOR BLACK                                      ,BASEUS                        ,104.5,209,12,3,0,0,5,0,0,0,0,0,4,0,0,0,0,0
758226,6.95E+12,ACJHQ-01       ,BASEUS MICROMOLECULE FORMALDEHYDE PURIFIER DEEP SPACE BLACK                                                   ,BASEUS                        ,54.5,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758227,6.95E+12,ACJHQ-0S       ,BASEUS MICROMOLECULE FORMALDEHYDE PURIFIER SILVER                                                             ,BASEUS                        ,54.5,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758228,6.95E+12,SUHZ-01        ,BASEUS BACK SEAT CAR MOUNT BLACK                                                                              ,BASEUS                        ,39.5,79,13,5,0,0,3,0,0,4,0,0,1,0,0,0,0,0
758229,6.95E+12,SUHZ-2S        ,BASEUS BACK SEAT CAR MOUNT SILVER                                                                             ,BASEUS                        ,39.5,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758230,6.97E+12,RPH0890        ,ROCK SHOOTING GAME CONTROLLER WITH HANDLE BLACK                                                               ,ROCK                          ,39.5,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758231,7.45E+12,BHL-715        ,BRAVE 2-IN-1 UNIVERSAL MAGNETIC HOLDER                                                                        ,BRAVEN                        ,34.5,69,20,0,0,0,1,0,0,15,0,0,4,3,207,0,0,0
758233,6.95E+12,SGAPIPH58-WA01 ,BASEUS FULL-SCREEN CURVED TEMPERED GLASS SCREEN PROTECTOR BLACK FOR IPHONE XS/X                               ,BASEUS                        ,45,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758235,6.95E+12,SGAPIPH58-WC01 ,BASEUS FULL-SCREEN CURVED PRIVACY TEMPERED GLASS SCREEN PROTECTOR BLACK FOR IPHONE XS/X                       ,BASEUS                        ,50,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758236,6.95E+12,SGAPIPH65-WC01 ,BASEUS FULL-SCREEN CURVED PRIVACY TEMPERED GLASS SCREEN PROTECTOR BLACK FOR IPHONE XS MAX                     ,BASEUS                        ,50,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758241,6.95E+12,CAHUB-T01      ,BASEUS MATE DOCKING TYPE-C HUB DOCKING STATION BLACK                                                          ,BASEUS                        ,120,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758244,6.95E+12,CABA01-01      ,BASEUS BA01 USB WIRELESS ADAPTER CABLE BLACK                                                                  ,BASEUS                        ,50,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758245,6.95E+12,CABA01-09      ,BASEUS BA01 USB WIRELESS ADAPTER CABLE RED                                                                    ,BASEUS                        ,50,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762676,6.95E+12,CATXF-0G       ,BASEUS 7-IN-1 SQUARE DESK TYPE-C MULTI-FUNCTIONAL HUB TYPE-C                                                  ,BASEUS                        ,135,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762677,6.95E+12,SULR-0G        ,BASEUS UNLIMITED ADJUSTMENT LAZY PHONE HOLDER GREY                                                            ,BASEUS                        ,50,99,22,16,1,99,1,2,198,4,0,0,1,1,99,0,0,0
762678,6.95E+12,CATYW-B03      ,BASEUS ARTISTIC STRIPED TYPE-C 3A CABLE 5M BLUE                                                               ,BASEUS                        ,45,89,21,0,0,0,4,0,0,5,1,89,12,0,0,0,0,0
762679,6.95E+12,CATYW-B01      ,BASEUS ARTISTIC STRIPED TYPE-C 3A CABLE 5M BLACK                                                              ,BASEUS                        ,45,89,24,0,0,0,5,0,0,5,0,0,14,0,0,0,0,0
762680,6.95E+12,CATYW-B09      ,BASEUS ARTISTIC STRIPED TYPE-C 3A CABLE 5M RED                                                                ,BASEUS                        ,45,89,24,0,0,0,6,0,0,6,0,0,12,0,0,0,0,0
762681,6.95E+12,CATSR-01       ,BASEUS FISH-EYE SPRING TYPE-C 2A CABLE 1M BLACK                                                               ,BASEUS                        ,35,69,12,0,0,0,4,0,0,5,0,0,3,1,69,0,0,0
762682,6.95E+12,CATSR-09       ,BASEUS FISH-EYE SPRING TYPE-C 2A CABLE 1M RED                                                                 ,BASEUS                        ,35,69,23,0,0,0,5,0,0,6,0,0,12,0,0,0,0,0
762683,7.45E+12,BCC-36W        ,BRAVE 2-PORT TYPE-C & QUICK CHARGE CAR CHARGER                                                                ,BASEUS                        ,50,99,25,0,0,0,5,1,99,6,0,0,14,0,0,0,0,0
766138,6.95E+12,WX3IN1-01      ,BASEUS SMART 3-IN-1 WIRELESS CHARGER 18W BLACK                                                                ,BASEUS                        ,100,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766139,6.95E+12,WX3IN1-02      ,BASEUS SMART 3-IN-1 WIRELESS CHARGER 18W WHITE                                                                ,BASEUS                        ,100,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766140,6.95E+12,CA1T4-I0G      ,BASEUS STAR RING SERIES 4-IN-1 CABLE 1.2M DEEP GREY                                                           ,BASEUS                        ,69.5,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766141,6.95E+12,WIAPIPH58-QA01 ,BASEUS TRANSPARENT KEY PHONE CASE BLACK FOR IPHONE XS                                                         ,BASEUS                        ,34.5,69,24,6,0,0,6,0,0,6,0,0,6,0,0,0,0,0
766142,6.95E+12,WIAPIPH58-QA02 ,BASEUS TRANSPARENT KEY PHONE CASE TRANSPARENT FOR IPHONE XS                                                   ,BASEUS                        ,34.5,69,23,6,0,0,6,0,0,6,0,0,5,1,69,0,0,0
