Sku,UPC,Catalogue N,Label,Arq COST,Cost Price,V.S.P.,Latest SOH,02-2019: QTY SOLD,02-2019: QTY SOLD Arqoob Cost,02-2019: QTY SOLD QTY SOLD VALUE,03-2019: QTY SOLD,03-2019: QTY SOLD Arqoob Cost,03-2019: QTY SOLD QTY SOLD VALUE,04-2019: QTY SOLD,04-2019: QTY SOLD Arqoob Cost,04-2019: QTY SOLD QTY SOLD VALUE,05-2019: QTY SOLD,05-2019: QTY SOLD Arqoob Cost,05-2019: QTY SOLD QTY SOLD VALUE,06-2019: QTY SOLD,06-2019: QTY SOLD Arqoob Cost,06-2019: QTY SOLD QTY SOLD VALUE,07-2019: QTY SOLD,07-2019: QTY SOLD Arqoob Cost,07-2019: QTY SOLD QTY SOLD VALUE,08-2019: QTY SOLD,08-2019: QTY SOLD Arqoob Cost,08-2019: QTY SOLD QTY SOLD VALUE,09-2019: QTY SOLD,09-2019: QTY SOLD Arqoob Cost,09-2019: QTY SOLD QTY SOLD VALUE,Total Qty Sold,Total Arqoob Cost,Total Arqhoob Price,Qty Avg Day,Qty Avg Month,Value Avg Month,Qty Stock Value,Days Stock in Hand,Current stock cover upto (Week),Current stock cover upto (Month),Current stock cover upto (Date)
734907,6953156255814.0,SUGENT-ATR01   ,BASEUS                        ,11.0,24.5,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
734948,6953156276673.0,ACSR-MS01      ,BASEUS                        ,24.14,54.5,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
743956,6953156284838.0,WIAPIPH58-ASL04,BASEUS                        ,12.68,34.5,69,0.0,12.0,152.16,414.0,4.0,50.72,138.0,14.0,177.52,483.0,6.0,76.08,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,456.48,1242.0,0.15,4.5,155.25,0.0,0.0,0.0,0.0,
758126,6953156278585.0,CATL45-01      ,BASEUS                        ,9.66,34.5,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
758226,6953156290853.0,ACJHQ-01       ,BASEUS                        ,26.0,54.5,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
758227,6953156290860.0,ACJHQ-0S       ,BASEUS                        ,26.0,54.5,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
758229,6953156261365.0,SUHZ-2S        ,BASEUS                        ,14.0,39.5,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
758230,6971680477397.0,RPH0890        ,ROCK                          ,18.0,39.5,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
758233,6953156289734.0,SGAPIPH58-WA01 ,BASEUS                        ,9.66,45.0,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
758235,6953156289758.0,SGAPIPH58-WC01 ,BASEUS                        ,15.69,50.0,99,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.69,50.0,1.0,15.69,50.0,0.0,0.12,6.25,450.0,0.0,inf,inf,
758236,6953156289819.0,SGAPIPH65-WC01 ,BASEUS                        ,16.0,50.0,99,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,50.0,1.0,16.0,50.0,0.0,0.12,6.25,550.0,0.0,inf,inf,
758241,6953156288935.0,CAHUB-T01      ,BASEUS                        ,55.18,120.0,239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
758244,6953156290488.0,CABA01-01      ,BASEUS                        ,18.32,50.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
758245,6953156290495.0,CABA01-09      ,BASEUS                        ,18.32,50.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
762676,6953156291492.0,CATXF-0G       ,BASEUS                        ,107.84,135.0,269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
762683,7447902861064.0,BCC-36W        ,BASEUS                        ,13.44,50.0,99,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.44,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.44,50.0,0.0,0.12,6.25,1250.0,0.0,inf,inf,
317277,4716076166958.0,BK18002-BK     ,BONE COLLECTION               ,23.16,44.5,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
317296,4716076167474.0,PH18502-GR     ,BONE COLLECTION               ,28.95,49.5,99,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.95,49.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.95,49.5,0.0,0.12,6.19,1237.5,0.0,inf,inf,
317301,4716076167450.0,PH18501-GR     ,BONE COLLECTION               ,28.95,49.5,99,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.95,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.95,49.5,0.0,0.12,6.19,445.5,0.0,inf,inf,
317312,4716076168358.0,PH18101-DUC    ,BONE COLLECTION               ,22.39,34.5,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.39,34.5,1.0,22.39,34.5,0.0,0.0,0.0,2.0,44.78,69.0,0.01,0.25,8.62,0.0,0.0,0.0,0.0,
317324,4716076167863.0,PH18080-DUC    ,BONE COLLECTION               ,21.23,34.5,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
317333,4716076167924.0,PH18082-PEN    ,BONE COLLECTION               ,22.39,34.5,69,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.5,0.0,inf,inf,
317335,4716076167931.0,PH18082-DEE    ,BONE COLLECTION               ,22.39,34.5,69,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.39,34.5,1.0,22.39,34.5,0.0,0.12,4.31,586.5,0.0,inf,inf,
317343,4716076167979.0,PH18084-DEE    ,BONE COLLECTION               ,22.39,34.5,69,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.39,34.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.39,34.5,0.0,0.12,4.31,862.5,0.0,inf,inf,
663480,6953156292314.0,NGH15-01       ,BASEUS                        ,18.13,54.5,109,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.13,54.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.13,54.5,0.0,0.12,6.81,1253.5,0.0,inf,inf,
663481,6953156292321.0,NGH15-91       ,BASEUS                        ,18.13,54.5,109,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1853.0,0.0,inf,inf,
665859,6953156293243.0,NGA03-01       ,BASEUS                        ,30.82,74.5,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
671812,6953156292079.0,PPLG-01        ,BASEUS                        ,88.91,149.5,299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
674011,6953156286504.0,SUDYZP-D19     ,BASEUS                        ,45.32,79.5,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
676638,6953156286481.0,SUDYZP-D1V     ,BASEUS                        ,45.32,79.5,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
766138,6953156295483.0,WX3IN1-01      ,BASEUS                        ,51.18,100.0,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
766139,6953156295490.0,WX3IN1-02      ,BASEUS                        ,55.17,100.0,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
766140,6953156293618.0,CA1T4-I0G      ,BASEUS                        ,28.96,69.5,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
