,Sku,UPC,Catalogue N,Label,Arq COST,Cost Price,V.S.P.,Latest SOH,01-2019: QTY SOLD,01-2019: QTY SOLDArqoob Cost,01-2019: QTY SOLDQTY SOLD VALUE,02-2019: QTY SOLD,02-2019: QTY SOLDArqoob Cost,02-2019: QTY SOLDQTY SOLD VALUE,03-2019: QTY SOLD,03-2019: QTY SOLDArqoob Cost,03-2019: QTY SOLDQTY SOLD VALUE,04-2019: QTY SOLD,04-2019: QTY SOLDArqoob Cost,04-2019: QTY SOLDQTY SOLD VALUE,05-2019: QTY SOLD,05-2019: QTY SOLDArqoob Cost,05-2019: QTY SOLDQTY SOLD VALUE,Total Qty Sold,Total Arghoob Cost,Total Arqhoob Price,Qty Avg Day,Qty Avg Month,Value Avg Month,Qty Stock Value,Days Stock in Hand,Current stock cover upto (Week),Current stock cover upto (Month),Current stock cover upto (Date)
0,758231,7450000000000.0,BHL-715        ,BRAVEN                        ,1,30.0,62,54,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,33,33,990.0,33.0,33.0,990.0,0.22,6.6,198.0,1620.0,245.45,35.0,8.0,2020-04-08
1,734836,6950000000000.0,WXZN-01        ,BASEUS                        ,1,69.5,149,6,6,6,417.0,4,4,278.0,14,14,973.0,6,6,417.0,15,15,1042.5,45.0,45.0,3127.5,0.3,9.0,625.5,417.0,20.0,3.0,1.0,2019-08-27
2,734837,6950000000000.0,ACHDCJ-01      ,BASEUS                        ,1,24.5,49,39,82,82,2009.0,36,36,882.0,40,40,980.0,32,32,784.0,33,33,808.5,223.0,223.0,5463.5,1.48,44.6,1092.7,955.5,26.35,4.0,1.0,2019-09-02
3,734838,6950000000000.0,ACHDCJ-02      ,BASEUS                        ,1,24.5,49,34,67,67,1641.5,37,37,906.5,33,33,808.5,37,37,906.5,36,36,882.0,210.0,210.0,5145.0,1.39,42.0,1029.0,833.0,24.46,3.0,1.0,2019-09-01
4,734881,6950000000000.0,WX2IN1-02      ,BASEUS                        ,1,84.5,179,12,19,19,1605.5,4,4,338.0,14,14,1183.0,29,29,2450.5,23,23,1943.5,89.0,89.0,7520.5,0.59,17.8,1504.1,1014.0,20.34,3.0,1.0,2019-08-27
5,734906,6950000000000.0,SGAPIPHX-TZ01  ,BASEUS                        ,1,49.5,109,25,0,0,0.0,1,1,49.5,14,14,693.0,14,14,693.0,6,6,297.0,35.0,35.0,1732.5,0.23,7.0,346.5,1237.5,108.7,16.0,4.0,2019-11-24
6,734920,6950000000000.0,SUYZD-01       ,BASEUS                        ,1,34.5,69,8,11,11,379.5,11,11,379.5,19,19,655.5,26,26,897.0,28,28,966.0,95.0,95.0,3277.5,0.63,19.0,655.5,276.0,12.7,2.0,0.0,2019-08-20
7,734922,6950000000000.0,SUYZD-0S       ,BASEUS                        ,1,34.5,69,10,11,11,379.5,4,4,138.0,22,22,759.0,18,18,621.0,9,9,310.5,64.0,64.0,2208.0,0.42,12.8,441.6,345.0,23.81,3.0,1.0,2019-08-31
8,734927,6950000000000.0,SUER-B01       ,BASEUS                        ,1,24.5,49,27,12,12,294.0,12,12,294.0,16,16,392.0,21,21,514.5,21,21,514.5,82.0,82.0,2009.0,0.54,16.4,401.8,661.5,50.0,7.0,2.0,2019-09-26
9,734943,6950000000000.0,TZARGS-01      ,BASEUS                        ,1,24.5,49,4,14,14,343.0,15,15,367.5,11,11,269.5,11,11,269.5,6,6,147.0,57.0,57.0,1396.5,0.38,11.4,279.3,98.0,10.53,2.0,0.0,2019-08-18
10,735670,6950000000000.0,SGAPIPHX-RA01  ,BASEUS                        ,1,19.5,39,22,4,4,78.0,12,12,234.0,26,26,507.0,16,16,312.0,3,3,58.5,61.0,61.0,1189.5,0.4,12.2,237.9,429.0,55.0,8.0,2.0,2019-10-01
11,738078,6950000000000.0,ACSLCJ-06      ,BASEUS                        ,1,24.5,49,75,89,89,2180.5,35,35,857.5,30,30,735.0,29,29,710.5,31,31,759.5,214.0,214.0,5243.0,1.42,42.8,1048.6,1837.5,52.82,8.0,2.0,2019-09-29
12,739727,6950000000000.0,WIAPPOD-01     ,BASEUS                        ,1,44.5,99,28,29,29,1290.5,15,15,667.5,16,16,712.0,18,18,801.0,15,15,667.5,93.0,93.0,4138.5,0.62,18.6,827.7,1246.0,45.16,6.0,2.0,2019-09-21
13,742248,6950000000000.0,ACSLCJ-01      ,BASEUS                        ,1,24.5,49,86,55,55,1347.5,26,26,637.0,36,36,882.0,39,39,955.5,44,44,1078.0,200.0,200.0,4900.0,1.32,40.0,980.0,2107.0,65.15,9.0,2.0,2019-10-11
14,742249,6950000000000.0,SUCJLF-01      ,BASEUS                        ,1,44.5,99,36,27,27,1201.5,10,10,445.0,7,7,311.5,23,23,1023.5,10,10,445.0,77.0,77.0,3426.5,0.51,15.4,685.3,1602.0,70.59,10.0,2.0,2019-10-17
15,742295,6950000000000.0,SUGENT-XF0S    ,BASEUS                        ,1,39.5,79,22,11,11,434.5,7,7,276.5,2,2,79.0,9,9,355.5,16,16,632.0,45.0,45.0,1777.5,0.3,9.0,355.5,869.0,73.33,10.0,2.0,2019-10-19
16,742296,6950000000000.0,SUGENT-XF01    ,BASEUS                        ,1,39.5,79,40,10,10,395.0,8,8,316.0,9,9,355.5,10,10,395.0,18,18,711.0,55.0,55.0,2172.5,0.36,11.0,434.5,1580.0,111.11,16.0,4.0,2019-11-26
17,742300,6950000000000.0,ACPCL-01       ,BASEUS                        ,1,29.5,59,9,12,12,354.0,9,9,265.5,18,18,531.0,18,18,531.0,15,15,442.5,72.0,72.0,2124.0,0.48,14.4,424.8,265.5,18.75,3.0,1.0,2019-08-26
18,743953,6950000000000.0,WIAPIPH58-ASL01,BASEUS                        ,1,34.5,69,9,16,16,552.0,18,18,621.0,24,24,828.0,26,26,897.0,17,17,586.5,101.0,101.0,3484.5,0.67,20.2,696.9,310.5,13.43,2.0,0.0,2019-08-20
19,743955,6950000000000.0,WIAPIPH58-ASL03,BASEUS                        ,1,34.5,69,7,15,15,517.5,7,7,241.5,10,10,345.0,12,12,414.0,8,8,276.0,52.0,52.0,1794.0,0.34,10.4,358.8,241.5,20.59,3.0,1.0,2019-08-28
20,743956,6950000000000.0,WIAPIPH58-ASL04,BASEUS                        ,1,34.5,69,4,16,16,552.0,5,5,172.5,16,16,552.0,12,12,414.0,13,13,448.5,62.0,62.0,2139.0,0.41,12.4,427.8,138.0,9.76,1.0,0.0,2019-08-17
21,743960,6950000000000.0,WIAPIPH65-ASL01,BASEUS                        ,1,34.5,69,23,11,11,379.5,12,12,414.0,11,11,379.5,8,8,276.0,9,9,310.5,51.0,51.0,1759.5,0.34,10.2,351.9,793.5,67.65,10.0,2.0,2019-10-14
22,743968,6950000000000.0,SUCJG9-02      ,BASEUS                        ,1,24.5,49,45,36,36,882.0,12,12,294.0,14,14,343.0,16,16,392.0,23,23,563.5,101.0,101.0,2474.5,0.67,20.2,494.9,1102.5,67.16,10.0,2.0,2019-10-13
23,743975,6950000000000.0,SUCJG9-01      ,BASEUS                        ,1,24.5,49,17,38,38,931.0,20,20,490.0,12,12,294.0,10,10,245.0,7,7,171.5,87.0,87.0,2131.5,0.58,17.4,426.3,416.5,29.31,4.0,1.0,2019-09-05
24,746699,745000000000.0,BHL-712        ,BRAVE                         ,1,34.5,69,6,6,6,207.0,13,13,448.5,16,16,552.0,21,21,724.5,5,5,172.5,61.0,61.0,2104.5,0.4,12.2,420.9,207.0,15.0,2.0,0.0,2019-08-22
25,746700,745000000000.0,BHL-713        ,BRAVE                         ,1,29.5,59,55,12,12,354.0,18,18,531.0,14,14,413.0,44,44,1298.0,30,30,885.0,118.0,118.0,3481.0,0.78,23.6,696.2,1622.5,70.51,10.0,2.0,2019-10-17
26,751056,6950000000000.0,ACPBCJ-01      ,BASEUS                        ,1,34.5,69,31,0,0,0.0,12,12,414.0,24,24,828.0,9,9,310.5,20,20,690.0,65.0,65.0,2242.5,0.43,13.0,448.5,1069.5,72.09,10.0,2.0,2019-10-18
27,751059,6950000000000.0,ACPBCJ-02      ,BASEUS                        ,1,34.5,69,22,0,0,0.0,10,10,345.0,25,25,862.5,22,22,759.0,19,19,655.5,76.0,76.0,2622.0,0.5,15.2,524.4,759.0,44.0,6.0,1.0,2019-09-20
28,751060,6950000000000.0,SGAPWA4-A01    ,BASEUS                        ,1,29.5,59,31,0,0,0.0,21,21,619.5,40,40,1180.0,30,30,885.0,16,16,472.0,107.0,107.0,3156.5,0.71,21.4,631.3,914.5,43.66,6.0,1.0,2019-09-20
29,751063,6950000000000.0,SGAPWA4-B01    ,BASEUS                        ,1,29.5,59,6,0,0,0.0,37,37,1091.5,52,52,1534.0,11,11,324.5,6,6,177.0,106.0,106.0,3127.0,0.7,21.2,625.4,177.0,8.57,1.0,0.0,2019-08-16
30,758226,6950000000000.0,ACJHQ-01       ,BASEUS                        ,1,50.0,104,15,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,50.0,1.0,1.0,50.0,0.01,0.2,10.0,750.0,1500.0,214.0,50.0,2023-09-15
31,758227,6950000000000.0,ACJHQ-0S       ,BASEUS                        ,1,50.0,104,15,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,inf,inf,null
32,758228,6950000000000.0,SUHZ-01        ,BASEUS                        ,1,35.0,73,30,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,70.0,2.0,2.0,70.0,0.01,0.4,14.0,1050.0,3000.0,429.0,100.0,2027-10-24
33,758234,6950000000000.0,SGAPIPH65-WA01 ,BASEUS                        ,1,40.0,83,48,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,80.0,2.0,2.0,80.0,0.01,0.4,16.0,1920.0,4800.0,686.0,160.0,2032-09-27
34,762678,6950000000000.0,CATYW-B03      ,BASEUS                        ,1,40.0,79,14,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0,inf,inf,null
35,762680,6950000000000.0,CATYW-B09      ,BASEUS                        ,1,40.0,79,20,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,inf,inf,null
36,762682,6950000000000.0,CATSR-09       ,BASEUS                        ,1,30.0,29,37,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,60.0,2.0,2.0,60.0,0.01,0.4,12.0,1110.0,3700.0,529.0,123.0,2029-09-23
37,758121,6950000000000.0,SUWNT-01       ,BASEUS                        ,1,29.5,62,6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,59.0,2.0,2.0,59.0,0.01,0.4,11.8,177.0,600.0,86.0,20.0,2021-03-29
38,734864,6950000000000.0,ACBZ-AP09      ,BASEUS                        ,1,19.5,39,3,0,0,0.0,0,0,0.0,1,1,19.5,1,1,19.5,0,0,0.0,2.0,2.0,39.0,0.01,0.4,7.8,58.5,300.0,43.0,10.0,2020-06-02
39,734865,6950000000000.0,ACBZ-AP01      ,BASEUS                        ,1,19.5,39,3,1,1,19.5,0,0,0.0,1,1,19.5,0,0,0.0,1,1,19.5,3.0,3.0,58.5,0.02,0.6,11.7,58.5,150.0,21.0,5.0,2020-01-04
40,734870,6950000000000.0,NGS16-06       ,BASEUS                        ,1,99.5,209,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.5,0.0,inf,inf,null
41,734877,6950000000000.0,CCALL-JK02     ,BASEUS                        ,1,49.5,99,1,3,3,148.5,0,0,0.0,1,1,49.5,0,0,0.0,0,0,0.0,4.0,4.0,198.0,0.03,0.8,39.6,49.5,33.33,5.0,1.0,2019-09-09
42,734888,6950000000000.0,PPALL-PX03     ,BASEUS                        ,1,59.5,129,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,inf,inf,null
43,734892,6950000000000.0,PPALL-QY01     ,BASEUS                        ,1,109.5,229,3,0,0,0.0,1,1,109.5,2,2,219.0,0,0,0.0,0,0,0.0,3.0,3.0,328.5,0.02,0.6,65.7,328.5,150.0,21.0,5.0,2020-01-04
44,734894,6950000000000.0,PPALL-QY04     ,BASEUS                        ,1,109.5,229,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.5,0.0,inf,inf,null
45,734896,6950000000000.0,CCALL-TM01     ,BASEUS                        ,1,39.5,79,2,3,3,118.5,2,2,79.0,1,1,39.5,1,1,39.5,0,0,0.0,7.0,7.0,276.5,0.05,1.4,55.3,79.0,40.0,6.0,1.0,2019-09-16
46,734902,6950000000000.0,ACAPIPH-EA9    ,BASEUS                        ,1,74.5,159,1,2,2,149.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,74.5,3.0,3.0,223.5,0.02,0.6,44.7,74.5,50.0,7.0,2.0,2019-09-26
47,734910,6950000000000.0,SUER-A0R       ,BASEUS                        ,1,24.5,49,3,2,2,49.0,1,1,24.5,1,1,24.5,0,0,0.0,0,0,0.0,4.0,4.0,98.0,0.03,0.8,19.6,73.5,100.0,14.0,3.0,2019-11-15
48,734912,6950000000000.0,SUER-A09       ,BASEUS                        ,1,24.5,49,2,1,1,24.5,2,2,49.0,0,0,0.0,0,0,0.0,2,2,49.0,5.0,5.0,122.5,0.03,1.0,24.5,49.0,66.67,10.0,2.0,2019-10-13
49,734940,6950000000000.0,WXXP-02        ,BASEUS                        ,1,44.5,99,1,1,1,44.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1.0,1.0,44.5,0.01,0.2,8.9,44.5,100.0,14.0,3.0,2019-11-15
50,734941,6950000000000.0,WXXP-01        ,BASEUS                        ,1,44.5,89,3,2,2,89.0,1,1,44.5,2,2,89.0,0,0,0.0,0,0,0.0,5.0,5.0,222.5,0.03,1.0,44.5,133.5,100.0,14.0,3.0,2019-11-15
51,738075,6950000000000.0,CATCY-B0G      ,BASEUS                        ,1,129.5,269,1,1,1,129.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1.0,1.0,129.5,0.01,0.2,25.9,129.5,100.0,14.0,3.0,2019-11-15
52,742293,6950000000000.0,SGAPIPD-DX02   ,BASEUS                        ,1,44.5,89,8,2,2,89.0,0,0,0.0,1,1,44.5,0,0,0.0,0,0,0.0,3.0,3.0,133.5,0.02,0.6,26.7,356.0,400.0,57.0,13.0,2020-09-10
53,742294,6950000000000.0,LTAPIPD-ASM03  ,BASEUS                        ,1,74.5,159,7,2,2,149.0,1,1,74.5,0,0,0.0,0,0,0.0,0,0,0.0,3.0,3.0,223.5,0.02,0.6,44.7,521.5,350.0,50.0,12.0,2020-07-22
54,743943,6950000000000.0,NGS07-01       ,BASEUS                        ,1,49.5,99,5,0,0,0.0,1,1,49.5,0,0,0.0,0,0,0.0,0,0,0.0,1.0,1.0,49.5,0.01,0.2,9.9,247.5,500.0,71.0,17.0,2020-12-19
55,746547,6950000000000.0,LTAPIPD-ASM01  ,BASEUS                        ,1,74.5,159,4,4,4,298.0,2,2,149.0,0,0,0.0,2,2,149.0,0,0,0.0,8.0,8.0,596.0,0.05,1.6,119.2,298.0,80.0,11.0,3.0,2019-10-26
56,746548,6950000000000.0,LTAPIPD-BSM01  ,BASEUS                        ,1,89.5,189,4,3,3,268.5,2,2,179.0,0,0,0.0,0,0,0.0,0,0,0.0,5.0,5.0,447.5,0.03,1.0,89.5,358.0,133.33,19.0,4.0,2019-12-18
57,746549,6950000000000.0,LTAPIPD-BSM03  ,BASEUS                        ,1,89.5,189,4,7,7,626.5,0,0,0.0,1,1,89.5,0,0,0.0,1,1,89.5,9.0,9.0,805.5,0.06,1.8,161.1,358.0,66.67,10.0,2.0,2019-10-13
58,748128,4720000000000.0,PH18501-BK     ,BONE COLLECTION               ,1,69.5,149,3,7,7,486.5,6,6,417.0,1,1,69.5,0,0,0.0,1,1,69.5,15.0,15.0,1042.5,0.1,3.0,208.5,208.5,30.0,4.0,1.0,2019-09-06
59,748131,4720000000000.0,DR18043-32BR   ,BONE COLLECTION               ,1,116.35,189,1,1,1,116.35,1,1,116.35,0,0,0.0,0,0,0.0,0,0,0.0,2.0,2.0,232.7,0.01,0.4,46.54,116.35,100.0,14.0,3.0,2019-11-15
60,748133,4720000000000.0,AP14021-BK     ,BONE COLLECTION               ,1,59.5,129,4,1,1,59.5,7,7,416.5,0,0,0.0,2,2,119.0,0,0,0.0,10.0,10.0,595.0,0.07,2.0,119.0,238.0,57.14,8.0,2.0,2019-10-03
61,734835,6950000000000.0,SUGENT-ZN01    ,BASEUS                        ,1,49.5,99,0,4,4,198.0,1,1,49.5,1,1,49.5,0,0,0.0,0,0,0.0,6.0,6.0,297.0,0.04,1.2,59.4,0.0,0.0,0.0,0.0,null
62,734839,6950000000000.0,WXHSD-D01      ,BASEUS                        ,1,129.5,269,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,null
63,734840,6950000000000.0,WXHSD-D02      ,BASEUS                        ,1,129.5,269,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,null
64,734841,6950000000000.0,SUBR-A01       ,BASEUS                        ,1,29.5,59,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,null
65,734843,6950000000000.0,SUBR-A08       ,BASEUS                        ,1,29.5,59,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,null
66,734845,6950000000000.0,SUBR-A09       ,BASEUS                        ,1,29.5,59,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,null
67,734848,6950000000000.0,SUBR-ASG       ,BASEUS                        ,1,29.5,59,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,null
68,734866,6950000000000.0,ACBZ-AP0G      ,BASEUS                        ,1,19.5,39,0,1,1,19.5,1,1,19.5,0,0,0.0,0,0,0.0,0,0,0.0,2.0,2.0,39.0,0.01,0.4,7.8,0.0,0.0,0.0,0.0,null
69,734869,6950000000000.0,NGS16-09       ,BASEUS                        ,1,99.5,209,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,null
70,734871,6950000000000.0,WXJS-A1        ,BASEUS                        ,1,59.5,119,0,0,0,0.0,1,1,59.5,0,0,0.0,0,0,0.0,0,0,0.0,1.0,1.0,59.5,0.01,0.2,11.9,0.0,0.0,0.0,0.0,null
71,734872,6950000000000.0,WXJS-S2        ,BASEUS                        ,1,59.5,119,0,1,1,59.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1.0,1.0,59.5,0.01,0.2,11.9,0.0,0.0,0.0,0.0,null
72,734873,6950000000000.0,WXBV-01        ,BASEUS                        ,1,34.5,69,0,2,2,69.0,1,1,34.5,3,3,103.5,0,0,0.0,0,0,0.0,6.0,6.0,207.0,0.04,1.2,41.4,0.0,0.0,0.0,0.0,null
73,734874,6950000000000.0,WXBV-02        ,BASEUS                        ,1,34.5,69,0,0,0,0.0,0,0,0.0,3,3,103.5,0,0,0.0,0,0,0.0,3.0,3.0,103.5,0.02,0.6,20.7,0.0,0.0,0.0,0.0,null
74,734875,6950000000000.0,WXBV-03        ,BASEUS                        ,1,44.5,99,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,null
75,734876,6950000000000.0,CCALL-JK01     ,BASEUS                        ,1,49.5,99,0,1,1,49.5,1,1,49.5,3,3,148.5,0,0,0.0,0,0,0.0,5.0,5.0,247.5,0.03,1.0,49.5,0.0,0.0,0.0,0.0,null
76,734878,6950000000000.0,CCALL-AJK01    ,BASEUS                        ,1,54.5,119,0,1,1,54.5,2,2,109.0,2,2,109.0,0,0,0.0,0,0,0.0,5.0,5.0,272.5,0.03,1.0,54.5,0.0,0.0,0.0,0.0,null
77,734879,6950000000000.0,WXXHJ-B01      ,BASEUS                        ,1,94.5,199,0,5,5,472.5,1,1,94.5,3,3,283.5,0,0,0.0,0,0,0.0,9.0,9.0,850.5,0.06,1.8,170.1,0.0,0.0,0.0,0.0,null
78,734884,6950000000000.0,PPALL-EX01     ,BASEUS                        ,1,69.5,149,0,4,4,278.0,3,3,208.5,4,4,278.0,9,9,625.5,0,0,0.0,20.0,20.0,1390.0,0.13,4.0,278.0,0.0,0.0,0.0,0.0,null
79,734897,6950000000000.0,CCALL-TM0A     ,BASEUS                        ,1,49.5,109,0,0,0,0.0,0,0,0.0,1,1,49.5,0,0,0.0,0,0,0.0,1.0,1.0,49.5,0.01,0.2,9.9,0.0,0.0,0.0,0.0,null
80,734900,6950000000000.0,ACDKQ-HG01     ,BASEUS                        ,1,39.5,79,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,null
81,734901,6950000000000.0,ACDKQ-HG0S     ,BASEUS                        ,1,39.5,79,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,null
82,734905,6950000000000.0,CAHUB-E0G      ,BASEUS                        ,1,114.5,239,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,null
83,734907,6950000000000.0,SUGENT-ATR01   ,BASEUS                        ,1,24.5,49,0,0,0,0.0,0,0,0.0,2,2,49.0,0,0,0.0,0,0,0.0,2.0,2.0,49.0,0.01,0.4,9.8,0.0,0.0,0.0,0.0,null
84,734915,6950000000000.0,SUCH-02        ,BASEUS                        ,1,24.5,49,0,1,1,24.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1.0,1.0,24.5,0.01,0.2,4.9,0.0,0.0,0.0,0.0,null
85,734916,6950000000000.0,SUHS-DP01      ,BASEUS                        ,1,24.5,49,0,5,5,122.5,1,1,24.5,4,4,98.0,1,1,24.5,0,0,0.0,11.0,11.0,269.5,0.07,2.2,53.9,0.0,0.0,0.0,0.0,null
86,734917,6950000000000.0,SUHS-DP0S      ,BASEUS                        ,1,24.5,49,0,3,3,73.5,2,2,49.0,0,0,0.0,0,0,0.0,0,0,0.0,5.0,5.0,122.5,0.03,1.0,24.5,0.0,0.0,0.0,0.0,null
87,734918,6950000000000.0,SUJX-01        ,BASEUS                        ,1,34.5,69,0,3,3,103.5,1,1,34.5,2,2,69.0,0,0,0.0,0,0,0.0,6.0,6.0,207.0,0.04,1.2,41.4,0.0,0.0,0.0,0.0,null
88,734923,6950000000000.0,SUGX-A01       ,BASEUS                        ,1,29.5,59,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,null
89,734924,6950000000000.0,SUGX-A0V       ,BASEUS                        ,1,29.5,59,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,null
90,734925,6950000000000.0,SUGX-A09       ,BASEUS                        ,1,29.5,59,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,null
91,734926,6950000000000.0,SUGX-A0S       ,BASEUS                        ,1,24.5,49,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,null
92,734929,6950000000000.0,SUER-B09       ,BASEUS                        ,1,24.5,49,0,4,4,98.0,2,2,49.0,7,7,171.5,2,2,49.0,0,0,0.0,15.0,15.0,367.5,0.1,3.0,73.5,0.0,0.0,0.0,0.0,null
93,734931,6950000000000.0,WIAPIPH58-BE01 ,BASEUS                        ,1,24.5,49,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,null
94,734933,6950000000000.0,WIAPIPH58-BE04 ,BASEUS                        ,1,24.5,49,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,null
95,734934,6950000000000.0,WIAPIPH58-BE08 ,BASEUS                        ,1,24.5,49,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,null
